timestamp,LC1,LC2,LC3,LC4,LC5,RC1,RC2,RC3,RC4,RC5
2024-04-11 09:00:00,0,18,4,7,4,1,112,7,25,0
2024-04-11 08:50:00,0,15,2,11,4,2,113,6,29,1
2024-04-11 08:40:00,1,32,0,11,1,0,90,6,35,2
2024-04-11 08:30:00,1,32,0,1,1,4,99,6,29,2
2024-04-11 08:20:00,1,27,2,6,1,0,107,9,29,5
2024-04-11 08:10:00,0,47,1,7,0,1,136,4,23,8
2024-04-11 08:00:00,0,32,0,9,0,2,130,10,27,2
2024-04-11 07:50:00,1,29,3,8,2,2,131,8,19,2
2024-04-11 07:40:00,1,27,0,12,1,0,114,5,36,1
2024-04-11 07:30:00,0,16,1,13,0,1,83,11,21,1
2024-04-11 07:20:00,0,17,0,3,0,0,104,4,33,0
2024-04-11 07:10:00,1,13,0,9,0,1,80,4,16,1
2024-04-11 07:00:00,0,15,0,4,3,1,87,5,22,2
2024-04-11 06:50:00,0,22,0,6,0,1,87,5,22,5
2024-04-11 06:40:00,0,18,0,4,0,0,88,2,21,0
2024-04-11 06:30:00,0,5,1,2,2,2,79,3,28,1
2024-04-11 06:20:00,0,5,0,2,0,2,59,5,10,4
2024-04-11 06:10:00,0,6,3,4,1,0,56,6,13,11
2024-04-11 06:00:00,0,12,0,1,1,3,70,1,12,1
2024-04-11 05:50:00,1,15,2,2,0,0,74,1,10,3
2024-04-11 05:40:00,0,3,1,1,1,2,58,2,14,4
2024-04-11 05:30:00,0,1,1,0,0,1,48,0,5,2
2024-04-11 05:20:00,0,4,1,2,0,0,25,1,5,0
2024-04-11 05:10:00,0,0,0,1,0,0,22,2,4,1
2024-04-11 05:00:00,1,3,0,0,0,0,15,0,2,0
2024-04-11 04:50:00,0,3,0,0,0,0,13,1,2,0
2024-04-11 04:40:00,0,1,0,1,0,0,8,1,2,0
2024-04-11 04:30:00,0,1,0,0,0,0,7,1,4,0
2024-04-11 04:20:00,0,4,0,3,0,0,6,0,4,0
2024-04-11 04:10:00,0,5,0,1,0,1,6,0,1,0
2024-04-11 04:00:00,0,2,0,0,0,0,7,2,2,1
2024-04-11 03:50:00,0,3,0,1,0,0,5,0,3,0
2024-04-11 03:40:00,0,0,0,1,0,0,7,0,0,0
2024-04-11 03:30:00,0,2,0,1,0,0,5,0,1,0
2024-04-11 03:20:00,0,1,0,0,0,0,3,0,1,0
2024-04-11 03:10:00,0,2,0,1,0,0,5,0,2,0
2024-04-11 03:00:00,0,3,0,0,0,0,4,0,1,0
2024-04-11 02:50:00,0,0,0,1,0,0,5,0,0,0
2024-04-11 02:40:00,0,1,0,3,0,0,8,1,2,0
2024-04-11 02:30:00,0,2,0,0,0,0,3,0,1,0
2024-04-11 02:20:00,0,3,0,0,0,0,10,0,1,0
2024-04-11 02:10:00,0,3,0,0,0,0,5,0,0,0
2024-04-11 02:00:00,0,2,0,2,0,0,13,0,0,0
2024-04-11 01:50:00,0,6,0,0,0,0,7,0,1,1
2024-04-11 01:40:00,0,5,0,2,1,0,11,0,1,0
2024-04-11 01:30:00,0,2,0,0,0,0,6,1,0,1
2024-04-11 01:20:00,0,1,0,0,0,0,9,0,2,0
2024-04-11 01:10:00,0,9,0,1,0,0,12,1,0,0
2024-04-11 01:00:00,0,4,0,2,0,0,14,1,3,0
