,LKW (S),Motorrad (L),PKW (S),Transporter (L),Transporter (S),PKW (L),Motorrad (S),Kleintransporter (S),LKW (L),Kleintransporter (L)
2023-02-17 23:10:00+00:00,0,0,20,0,3,1,0,0,0,0
2023-02-17 23:20:00+00:00,0,0,16,0,1,0,0,0,0,0
2023-02-17 23:30:00+00:00,0,0,17,0,4,0,0,0,0,0
2023-02-17 23:40:00+00:00,0,0,22,0,2,0,0,0,0,0
2023-02-17 23:50:00+00:00,0,0,13,0,1,0,0,0,0,0
2023-02-18 00:00:00+00:00,0,0,16,0,1,0,0,0,0,0
2023-02-18 00:10:00+00:00,0,0,13,0,1,0,0,0,0,0
2023-02-18 00:20:00+00:00,0,0,9,0,1,0,0,0,0,0
2023-02-18 00:30:00+00:00,0,0,17,0,0,0,0,0,0,0
2023-02-18 00:40:00+00:00,0,0,12,0,1,0,0,0,0,0
2023-02-18 00:50:00+00:00,0,0,14,1,2,0,0,0,0,0
2023-02-18 01:00:00+00:00,0,0,13,0,2,0,0,0,0,0
2023-02-18 01:10:00+00:00,0,0,13,0,3,0,0,0,0,0
2023-02-18 01:20:00+00:00,0,0,15,0,0,0,0,0,0,0
2023-02-18 01:30:00+00:00,0,0,8,0,2,0,0,0,0,0
2023-02-18 01:40:00+00:00,0,0,12,0,0,0,0,0,0,0
2023-02-18 01:50:00+00:00,0,0,6,0,2,0,0,0,0,0
2023-02-18 02:00:00+00:00,0,0,8,0,0,0,0,0,0,0
2023-02-18 02:10:00+00:00,0,0,6,0,0,1,0,0,0,0
2023-02-18 02:20:00+00:00,0,0,9,0,4,1,0,0,0,0
2023-02-18 02:30:00+00:00,0,0,9,0,2,1,1,0,0,0
2023-02-18 02:40:00+00:00,0,0,7,0,4,1,0,0,0,0
2023-02-18 02:50:00+00:00,0,0,2,1,3,0,0,0,0,0
2023-02-18 03:00:00+00:00,0,0,8,0,2,0,0,0,0,0
2023-02-18 03:10:00+00:00,0,0,6,0,1,0,0,0,0,0
2023-02-18 03:20:00+00:00,0,0,3,0,3,0,0,0,0,0
2023-02-18 03:30:00+00:00,0,0,5,0,1,0,0,0,0,0
2023-02-18 03:40:00+00:00,0,0,12,0,1,1,0,0,0,0
2023-02-18 03:50:00+00:00,0,0,13,0,4,0,0,0,0,0
2023-02-18 04:00:00+00:00,1,0,11,0,0,0,0,1,0,0
2023-02-18 04:10:00+00:00,0,0,20,0,2,0,0,0,0,0
2023-02-18 04:20:00+00:00,0,0,23,0,4,2,1,0,0,0
2023-02-18 04:30:00+00:00,0,0,28,0,3,0,0,0,0,0
2023-02-18 04:40:00+00:00,0,0,21,0,6,0,0,0,0,0
2023-02-18 04:50:00+00:00,0,0,18,0,6,0,0,0,0,0
2023-02-18 05:00:00+00:00,0,0,18,0,3,0,0,0,0,0
2023-02-18 05:10:00+00:00,0,0,13,0,7,0,0,0,0,0
2023-02-18 05:20:00+00:00,1,0,22,1,6,0,0,0,0,0
2023-02-18 05:30:00+00:00,1,0,21,0,3,0,0,1,1,0
2023-02-18 05:40:00+00:00,3,0,32,0,5,0,0,0,0,0
2023-02-18 05:50:00+00:00,3,0,21,0,1,0,0,0,0,0
2023-02-18 06:00:00+00:00,1,0,20,0,8,0,0,0,0,0
2023-02-18 06:10:00+00:00,1,0,20,0,1,0,0,2,0,0
2023-02-18 06:20:00+00:00,0,0,19,0,4,0,0,0,0,0
2023-02-18 06:30:00+00:00,1,0,33,0,6,1,0,0,0,0
2023-02-18 06:40:00+00:00,1,0,34,0,6,0,0,0,0,0
2023-02-18 06:50:00+00:00,4,0,25,0,8,1,0,0,0,0
2023-02-18 07:00:00+00:00,0,0,36,0,12,0,1,0,0,0
2023-02-18 07:10:00+00:00,2,0,31,1,6,0,0,0,0,0
2023-02-18 07:20:00+00:00,0,0,34,0,2,1,0,0,0,0
2023-02-18 07:30:00+00:00,4,0,30,1,6,0,0,1,0,0
2023-02-18 07:40:00+00:00,1,0,42,1,10,0,0,1,0,0
2023-02-18 07:50:00+00:00,0,0,52,0,7,0,0,0,0,0
2023-02-18 08:00:00+00:00,0,0,46,0,2,0,1,0,0,0
2023-02-18 08:10:00+00:00,0,0,54,0,6,0,0,0,0,0
2023-02-18 08:20:00+00:00,0,0,57,0,6,0,0,0,0,0
2023-02-18 08:30:00+00:00,0,0,60,0,6,0,0,0,0,0
2023-02-18 08:40:00+00:00,2,0,79,0,10,0,0,0,0,0
2023-02-18 08:50:00+00:00,8,0,52,0,17,1,0,0,0,0
2023-02-18 09:00:00+00:00,0,0,61,0,8,0,0,0,0,0
2023-02-18 09:10:00+00:00,6,0,62,0,11,0,0,3,0,0
2023-02-18 09:20:00+00:00,2,0,65,0,6,0,0,0,0,0
2023-02-18 09:30:00+00:00,0,0,74,0,8,0,0,0,0,0
2023-02-18 09:40:00+00:00,0,0,70,0,5,0,0,0,0,0
2023-02-18 09:50:00+00:00,0,0,71,0,13,2,0,0,0,0
2023-02-18 10:00:00+00:00,0,0,52,0,7,0,0,0,0,0
2023-02-18 10:10:00+00:00,0,0,61,0,7,0,0,0,0,0
2023-02-18 10:20:00+00:00,1,0,44,0,4,0,0,0,0,0
2023-02-18 10:30:00+00:00,0,0,70,0,5,0,0,0,0,0
2023-02-18 10:40:00+00:00,0,0,66,0,6,0,0,0,0,0
2023-02-18 10:50:00+00:00,0,0,54,0,8,0,0,0,0,0
2023-02-18 11:00:00+00:00,0,0,89,0,6,0,0,0,0,0
2023-02-18 11:10:00+00:00,0,0,56,0,10,0,0,0,0,0
2023-02-18 11:20:00+00:00,0,0,87,0,10,0,0,0,0,0
2023-02-18 11:30:00+00:00,0,0,77,0,22,0,1,0,0,0
2023-02-18 11:40:00+00:00,0,0,58,0,17,0,1,0,0,0
2023-02-18 11:50:00+00:00,0,0,76,0,13,0,0,0,0,0
2023-02-18 12:00:00+00:00,0,0,59,0,19,0,0,1,0,0
2023-02-18 12:10:00+00:00,1,0,67,0,7,0,0,0,0,0
2023-02-18 12:20:00+00:00,0,0,58,0,14,0,0,0,0,0
2023-02-18 12:30:00+00:00,0,0,70,0,16,0,1,0,0,0
2023-02-18 12:40:00+00:00,4,0,71,0,12,0,0,0,0,0
2023-02-18 12:50:00+00:00,0,0,65,0,9,0,0,0,0,0
2023-02-18 13:00:00+00:00,0,0,63,1,9,0,0,0,0,0
2023-02-18 13:10:00+00:00,0,0,67,0,14,0,1,0,0,0
2023-02-18 13:20:00+00:00,0,0,66,0,18,0,2,0,0,0
2023-02-18 13:30:00+00:00,4,0,58,0,17,0,1,0,0,0
2023-02-18 13:40:00+00:00,0,0,78,0,17,0,1,0,0,0
2023-02-18 13:50:00+00:00,4,0,71,0,15,0,0,0,0,0
2023-02-18 14:00:00+00:00,0,0,75,1,9,0,0,0,0,0
2023-02-18 14:10:00+00:00,0,0,74,0,17,1,1,0,0,0
2023-02-18 14:20:00+00:00,0,0,62,0,14,0,0,0,0,0
2023-02-18 14:30:00+00:00,0,0,65,0,9,0,0,0,0,0
2023-02-18 14:40:00+00:00,0,0,58,0,19,0,3,0,0,0
2023-02-18 14:50:00+00:00,1,0,66,0,11,0,1,0,0,0
2023-02-18 15:00:00+00:00,0,0,71,1,18,0,1,0,0,0
2023-02-18 15:10:00+00:00,1,0,72,0,18,0,1,0,0,0
2023-02-18 15:20:00+00:00,0,0,55,0,6,0,0,0,0,0
2023-02-18 15:30:00+00:00,0,0,70,0,5,0,0,0,0,0
2023-02-18 15:40:00+00:00,0,0,74,0,9,0,3,0,0,0
2023-02-18 15:50:00+00:00,0,0,74,0,16,0,3,0,0,0
2023-02-18 16:00:00+00:00,0,0,78,0,14,1,2,0,0,0
2023-02-18 16:10:00+00:00,0,0,77,1,11,0,3,0,0,0
2023-02-18 16:20:00+00:00,0,0,68,0,7,0,4,0,0,0
2023-02-18 16:30:00+00:00,2,0,80,0,6,0,0,0,0,0
2023-02-18 16:40:00+00:00,3,0,55,0,7,0,2,0,0,0
2023-02-18 16:50:00+00:00,3,0,73,0,10,0,6,0,0,0
2023-02-18 17:00:00+00:00,0,0,69,0,11,0,3,0,0,0
2023-02-18 17:10:00+00:00,2,0,74,0,8,1,2,0,0,0
2023-02-18 17:20:00+00:00,5,0,61,0,13,0,1,1,0,0
2023-02-18 17:30:00+00:00,1,0,84,0,16,0,3,0,0,0
2023-02-18 17:40:00+00:00,0,0,69,0,17,1,5,0,0,0
2023-02-18 17:50:00+00:00,0,0,75,0,10,1,3,0,0,0
2023-02-18 18:00:00+00:00,0,0,64,0,14,0,2,0,0,0
2023-02-18 18:10:00+00:00,0,0,67,0,8,1,2,0,0,0
2023-02-18 18:20:00+00:00,0,0,47,0,6,1,2,0,0,0
2023-02-18 18:30:00+00:00,0,1,47,0,6,0,0,0,0,0
2023-02-18 18:40:00+00:00,0,0,41,0,9,1,1,0,0,0
2023-02-18 18:50:00+00:00,0,0,56,0,6,1,0,0,0,0
2023-02-18 19:00:00+00:00,0,0,43,0,10,0,0,0,0,0
2023-02-18 19:10:00+00:00,0,0,58,0,9,0,0,0,0,0
2023-02-18 19:20:00+00:00,0,0,31,0,5,0,0,0,0,0
2023-02-18 19:30:00+00:00,0,1,36,0,4,0,0,0,0,0
2023-02-18 19:40:00+00:00,0,0,46,0,5,0,0,0,0,0
2023-02-18 19:50:00+00:00,0,0,31,0,7,0,0,0,0,0
2023-02-18 20:00:00+00:00,0,0,43,0,5,0,0,0,0,0
2023-02-18 20:10:00+00:00,0,0,34,0,4,0,0,0,0,0
2023-02-18 20:20:00+00:00,0,0,42,0,7,0,1,0,0,0
2023-02-18 20:30:00+00:00,2,0,45,0,3,0,0,0,0,0
2023-02-18 20:40:00+00:00,0,0,31,0,7,0,0,0,0,0
2023-02-18 20:50:00+00:00,0,0,31,0,3,0,0,0,0,0
2023-02-18 21:00:00+00:00,0,0,38,0,3,0,0,0,0,0
2023-02-18 21:10:00+00:00,0,0,47,0,3,0,0,0,0,0
2023-02-18 21:20:00+00:00,0,0,30,0,3,1,0,0,0,0
2023-02-18 21:30:00+00:00,0,0,41,0,2,0,0,0,0,0
2023-02-18 21:40:00+00:00,0,0,34,0,2,0,0,0,0,0
2023-02-18 21:50:00+00:00,0,2,24,0,7,1,0,0,0,0
2023-02-18 22:00:00+00:00,0,0,26,0,2,0,0,0,0,0
2023-02-18 22:10:00+00:00,0,0,32,0,4,1,1,0,0,0
2023-02-18 22:20:00+00:00,0,0,29,0,6,0,0,0,1,0
2023-02-18 22:30:00+00:00,0,0,33,0,2,1,0,0,0,0
2023-02-18 22:50:00+00:00,0,0,16,0,7,0,0,0,0,0
2023-02-18 23:00:00+00:00,0,0,26,0,4,0,1,0,0,0
2023-02-18 23:10:00+00:00,0,0,24,0,8,1,0,0,0,0
2023-02-18 23:20:00+00:00,0,0,24,0,4,0,1,0,0,0
2023-02-18 23:30:00+00:00,0,0,21,0,6,0,0,0,0,0
2023-02-18 23:40:00+00:00,0,0,10,0,2,1,0,0,0,0
2023-02-18 23:50:00+00:00,0,1,14,0,2,0,0,0,0,0
2023-02-19 00:00:00+00:00,0,0,13,0,2,0,0,0,0,0
2023-02-19 00:10:00+00:00,0,2,18,0,2,0,0,0,0,0
2023-02-19 00:20:00+00:00,0,0,18,0,0,0,0,0,0,0
2023-02-19 00:30:00+00:00,0,0,11,0,1,0,0,0,0,0
2023-02-19 00:40:00+00:00,0,1,10,0,4,0,0,0,0,0
2023-02-19 00:50:00+00:00,0,1,8,0,2,0,0,0,0,0
2023-02-19 01:00:00+00:00,0,3,13,0,4,0,0,0,1,0
2023-02-19 01:10:00+00:00,0,0,15,0,2,0,0,0,0,0
2023-02-19 01:20:00+00:00,0,1,8,0,3,0,0,0,0,0
2023-02-19 01:30:00+00:00,0,0,10,0,1,0,2,0,0,0
2023-02-19 01:40:00+00:00,0,0,8,0,0,0,1,0,0,0
2023-02-19 01:50:00+00:00,0,0,10,0,2,0,0,0,2,0
2023-02-19 02:00:00+00:00,0,0,11,0,0,0,0,0,0,0
2023-02-19 02:10:00+00:00,0,0,4,0,2,0,0,0,0,0
2023-02-19 02:20:00+00:00,0,0,15,0,5,0,0,0,0,0
2023-02-19 02:30:00+00:00,0,0,8,0,2,0,0,0,0,0
2023-02-19 02:40:00+00:00,1,0,10,0,4,0,0,0,0,0
2023-02-19 02:50:00+00:00,0,0,5,0,6,0,0,0,0,0
2023-02-19 03:00:00+00:00,0,0,8,0,1,0,0,0,0,0
2023-02-19 03:10:00+00:00,2,0,6,0,1,0,0,0,0,0
2023-02-19 03:20:00+00:00,0,0,2,0,0,0,0,0,0,0
2023-02-19 03:30:00+00:00,0,0,5,0,3,1,0,0,0,0
2023-02-19 03:40:00+00:00,2,0,7,0,2,2,2,0,0,0
2023-02-19 03:50:00+00:00,1,0,7,0,3,2,1,0,0,0
2023-02-19 04:00:00+00:00,1,0,7,0,2,0,0,0,0,0
2023-02-19 04:10:00+00:00,1,0,15,0,6,0,0,0,0,0
2023-02-19 04:20:00+00:00,1,0,16,0,2,1,1,0,0,0
2023-02-19 04:30:00+00:00,0,0,14,0,2,0,0,0,0,0
2023-02-19 04:40:00+00:00,0,0,12,0,3,1,2,0,0,0
2023-02-19 04:50:00+00:00,0,0,9,0,3,0,0,0,2,0
2023-02-19 05:00:00+00:00,0,1,17,0,2,0,0,0,1,0
2023-02-19 05:10:00+00:00,0,0,9,0,0,0,1,0,0,0
2023-02-19 05:20:00+00:00,0,0,13,0,1,0,0,0,0,0
2023-02-19 05:30:00+00:00,7,0,10,0,2,2,3,0,0,0
2023-02-19 05:40:00+00:00,1,0,10,0,3,0,3,0,0,0
2023-02-19 05:50:00+00:00,0,0,8,0,0,0,1,0,0,0
2023-02-19 06:00:00+00:00,0,0,7,0,0,0,3,0,0,0
2023-02-19 06:10:00+00:00,0,0,6,0,0,1,0,0,0,0
2023-02-19 06:20:00+00:00,0,0,9,0,2,0,0,0,0,0
2023-02-19 06:30:00+00:00,0,0,14,0,0,0,0,0,0,0
2023-02-19 06:40:00+00:00,1,0,6,1,2,0,0,0,0,0
2023-02-19 06:50:00+00:00,0,0,10,0,3,0,0,0,0,0
2023-02-19 07:00:00+00:00,2,0,10,0,2,0,0,0,0,0
2023-02-19 07:10:00+00:00,0,0,9,0,4,1,0,0,0,0
2023-02-19 07:20:00+00:00,0,0,17,0,0,0,2,0,0,0
2023-02-19 07:30:00+00:00,0,0,10,0,1,0,0,0,0,0
2023-02-19 07:40:00+00:00,0,0,17,0,0,0,0,0,0,0
2023-02-19 07:50:00+00:00,0,0,15,0,0,0,0,0,0,0
2023-02-19 08:00:00+00:00,0,0,28,0,4,0,0,0,0,0
2023-02-19 08:10:00+00:00,0,0,19,0,1,0,0,0,0,0
2023-02-19 08:20:00+00:00,0,0,23,0,2,0,0,0,0,0
2023-02-19 08:30:00+00:00,1,0,35,0,1,0,0,0,0,0
2023-02-19 08:40:00+00:00,0,0,39,0,3,0,0,0,0,0
2023-02-19 08:50:00+00:00,0,0,42,1,1,0,0,0,0,0
2023-02-19 09:00:00+00:00,1,0,38,1,3,0,0,1,0,0
2023-02-19 09:10:00+00:00,0,0,25,0,5,0,0,0,0,0
2023-02-19 09:20:00+00:00,0,0,42,0,1,0,0,0,0,0
2023-02-19 09:30:00+00:00,0,0,35,0,2,0,0,0,0,0
2023-02-19 09:40:00+00:00,2,0,51,0,5,0,0,0,0,0
2023-02-19 09:50:00+00:00,0,0,32,0,8,0,0,0,0,0
2023-02-19 10:00:00+00:00,0,0,43,0,2,0,0,0,0,0
2023-02-19 10:10:00+00:00,1,0,45,0,6,0,0,0,0,0
2023-02-19 10:20:00+00:00,0,0,45,1,6,0,0,0,0,0
2023-02-19 10:30:00+00:00,0,0,40,0,3,0,0,0,0,0
2023-02-19 10:40:00+00:00,0,0,32,0,8,0,0,0,0,0
2023-02-19 10:50:00+00:00,0,0,30,0,6,0,0,0,0,0
2023-02-19 11:00:00+00:00,1,0,34,0,10,0,0,0,0,0
2023-02-19 11:10:00+00:00,0,1,53,0,9,0,0,0,0,0
2023-02-19 11:20:00+00:00,0,0,42,0,7,0,1,0,0,0
2023-02-19 11:30:00+00:00,0,0,57,0,14,0,1,0,0,0
2023-02-19 11:40:00+00:00,0,0,52,0,13,1,0,0,0,0
2023-02-19 11:50:00+00:00,0,0,51,0,8,0,2,0,0,0
2023-02-19 12:00:00+00:00,2,0,49,0,9,0,0,0,0,0
2023-02-19 12:10:00+00:00,0,0,41,0,8,0,0,0,0,0
2023-02-19 12:20:00+00:00,1,0,63,0,12,0,1,0,0,0
2023-02-19 12:30:00+00:00,0,0,60,0,16,0,2,0,0,0
2023-02-19 12:40:00+00:00,0,0,59,0,12,0,1,0,0,0
2023-02-19 12:50:00+00:00,0,0,64,0,15,0,0,0,0,0
2023-02-19 13:00:00+00:00,1,0,58,0,20,0,1,0,0,0
2023-02-19 13:10:00+00:00,0,0,42,0,10,0,0,0,0,0
2023-02-19 13:20:00+00:00,0,0,71,0,14,0,1,0,0,0
2023-02-19 13:30:00+00:00,1,0,61,0,15,0,2,0,0,0
2023-02-19 13:40:00+00:00,2,0,61,1,13,0,0,0,0,0
2023-02-19 13:50:00+00:00,1,0,59,0,20,0,1,0,0,0
2023-02-19 14:00:00+00:00,1,0,54,0,16,0,0,0,0,0
2023-02-19 14:10:00+00:00,0,0,47,0,9,0,0,0,0,0
2023-02-19 14:20:00+00:00,1,0,66,0,14,0,0,0,0,0
2023-02-19 14:30:00+00:00,0,1,43,0,17,0,0,0,0,0
2023-02-19 14:40:00+00:00,0,0,52,0,18,0,1,0,0,0
2023-02-19 14:50:00+00:00,1,0,50,0,10,0,0,0,0,0
2023-02-19 15:00:00+00:00,0,0,54,0,9,0,1,1,0,0
2023-02-19 15:10:00+00:00,1,0,43,0,9,0,0,0,0,0
2023-02-19 15:20:00+00:00,0,0,53,0,11,0,1,0,0,0
2023-02-19 15:30:00+00:00,0,0,43,0,18,0,1,0,0,0
2023-02-19 15:40:00+00:00,2,0,57,0,10,0,0,0,0,0
2023-02-19 15:50:00+00:00,1,0,46,0,11,0,2,0,0,0
2023-02-19 16:00:00+00:00,2,0,56,0,10,1,2,0,0,0
2023-02-19 16:10:00+00:00,2,0,55,0,22,0,1,0,0,0
2023-02-19 16:20:00+00:00,0,0,60,0,17,0,1,0,0,0
2023-02-19 16:30:00+00:00,0,0,75,0,10,0,1,0,0,0
2023-02-19 16:40:00+00:00,2,0,64,0,12,0,1,0,0,0
2023-02-19 16:50:00+00:00,2,0,65,0,14,0,2,0,0,0
2023-02-19 17:00:00+00:00,1,0,61,0,12,0,3,0,0,0
2023-02-19 17:10:00+00:00,0,0,54,0,10,0,3,0,0,0
2023-02-19 17:20:00+00:00,5,0,54,0,7,1,3,0,0,0
2023-02-19 17:30:00+00:00,2,0,52,0,16,0,2,0,0,0
2023-02-19 17:40:00+00:00,0,0,74,0,14,0,7,0,0,0
2023-02-19 17:50:00+00:00,1,0,59,0,10,0,1,0,0,0
2023-02-19 18:00:00+00:00,0,0,40,0,7,0,1,0,0,0
2023-02-19 18:10:00+00:00,0,0,38,0,8,0,0,0,0,0
2023-02-19 18:20:00+00:00,0,0,31,0,7,0,2,0,0,0
2023-02-19 18:30:00+00:00,0,0,36,0,6,0,2,0,0,0
2023-02-19 18:40:00+00:00,0,0,29,0,4,0,1,0,0,0
2023-02-19 18:50:00+00:00,3,0,33,0,7,0,1,0,0,0
2023-02-19 19:00:00+00:00,0,0,28,0,6,0,2,0,0,0
2023-02-19 19:10:00+00:00,1,0,40,0,4,0,0,0,0,0
2023-02-19 19:20:00+00:00,0,0,23,0,7,0,1,0,0,0
2023-02-19 19:30:00+00:00,0,0,29,0,1,0,0,0,0,0
2023-02-19 19:40:00+00:00,0,0,42,1,7,0,0,0,0,0
2023-02-19 19:50:00+00:00,0,0,29,0,6,0,0,0,0,0
2023-02-19 20:00:00+00:00,0,0,26,0,4,0,0,0,0,0
2023-02-19 20:10:00+00:00,0,0,24,0,8,0,1,0,0,0
2023-02-19 20:20:00+00:00,0,0,29,0,5,1,0,0,0,0
2023-02-19 20:30:00+00:00,0,0,25,0,6,1,0,0,0,0
2023-02-19 20:40:00+00:00,0,0,19,0,1,0,0,0,0,0
2023-02-19 20:50:00+00:00,0,1,28,0,8,1,2,0,0,0
2023-02-19 21:00:00+00:00,0,0,10,0,1,0,0,0,0,0
2023-02-19 21:10:00+00:00,0,0,21,0,4,0,0,0,0,0
2023-02-19 21:20:00+00:00,0,0,12,0,5,1,0,0,0,0
2023-02-19 21:30:00+00:00,0,0,21,0,1,0,0,0,0,0
2023-02-19 21:40:00+00:00,1,0,13,0,3,0,0,0,0,0
2023-02-19 21:50:00+00:00,0,0,9,0,0,0,0,0,0,0
2023-02-19 22:00:00+00:00,0,0,15,0,2,1,0,0,0,0
2023-02-19 22:10:00+00:00,0,0,7,0,3,1,0,0,0,0
2023-02-19 22:20:00+00:00,0,1,10,0,3,0,0,0,0,0
2023-02-19 22:30:00+00:00,0,0,6,0,4,0,0,0,0,0
2023-02-19 22:40:00+00:00,0,0,10,0,2,1,0,0,0,0
2023-02-19 22:50:00+00:00,0,0,6,0,2,0,0,0,0,0
2023-02-19 23:00:00+00:00,0,0,3,0,6,1,0,0,0,0
2023-02-19 23:10:00+00:00,2,0,8,0,1,0,0,0,0,0
2023-02-19 23:20:00+00:00,0,0,5,0,1,0,0,0,0,0
2023-02-19 23:30:00+00:00,0,0,4,0,2,0,0,0,0,0
2023-02-19 23:40:00+00:00,0,0,3,0,1,0,0,0,0,0
2023-02-19 23:50:00+00:00,0,0,3,0,0,0,0,0,0,0
2023-02-20 00:00:00+00:00,0,0,4,0,1,0,0,0,0,0
2023-02-20 00:10:00+00:00,0,0,2,0,0,0,0,0,0,0
2023-02-20 00:20:00+00:00,0,0,4,0,1,0,0,0,0,0
2023-02-20 00:30:00+00:00,0,0,5,0,1,0,0,0,0,0
2023-02-20 00:40:00+00:00,0,0,5,0,1,0,0,0,0,0
2023-02-20 00:50:00+00:00,0,0,6,0,1,0,0,0,0,0
2023-02-20 01:00:00+00:00,0,0,4,0,0,0,1,0,0,0
2023-02-20 01:10:00+00:00,0,0,5,0,3,0,0,0,0,0
2023-02-20 01:20:00+00:00,0,0,4,0,4,0,0,0,0,0
2023-02-20 01:30:00+00:00,0,0,2,0,1,0,0,0,0,0
2023-02-20 01:40:00+00:00,0,0,5,0,0,0,0,0,0,0
2023-02-20 01:50:00+00:00,0,0,5,0,1,0,0,0,0,0
2023-02-20 02:00:00+00:00,0,0,2,0,0,0,0,0,0,0
2023-02-20 02:10:00+00:00,0,0,4,0,1,0,0,0,0,0
2023-02-20 02:20:00+00:00,0,0,7,1,4,1,0,0,0,0
2023-02-20 02:30:00+00:00,0,0,4,0,3,0,0,0,0,0
2023-02-20 02:40:00+00:00,0,0,8,1,5,0,0,0,0,0
2023-02-20 02:50:00+00:00,0,0,8,0,3,0,0,0,0,0
2023-02-20 03:00:00+00:00,0,1,6,0,2,0,0,0,0,0
2023-02-20 03:10:00+00:00,0,0,7,0,2,0,0,0,0,0
2023-02-20 03:20:00+00:00,0,0,11,0,2,0,0,0,0,0
2023-02-20 03:30:00+00:00,0,0,8,0,4,0,0,0,0,0
2023-02-20 03:40:00+00:00,0,0,13,0,5,0,0,0,0,0
2023-02-20 03:50:00+00:00,0,0,10,0,3,0,0,0,0,0
2023-02-20 04:00:00+00:00,0,0,19,0,6,0,0,0,0,0
2023-02-20 04:10:00+00:00,0,0,29,0,10,0,0,0,0,0
2023-02-20 04:20:00+00:00,0,0,62,0,12,0,0,1,0,1
2023-02-20 04:30:00+00:00,0,0,66,0,16,0,2,0,0,0
2023-02-20 04:40:00+00:00,0,0,66,2,20,1,0,0,0,0
2023-02-20 04:50:00+00:00,0,0,54,0,16,0,1,0,0,0
2023-02-20 05:00:00+00:00,0,0,40,1,13,0,0,0,0,0
2023-02-20 05:10:00+00:00,0,0,65,0,15,0,0,0,0,0
2023-02-20 05:20:00+00:00,0,0,63,0,11,1,0,0,0,0
2023-02-20 05:30:00+00:00,1,0,80,0,23,0,0,0,0,0
2023-02-20 05:40:00+00:00,0,0,78,0,31,0,0,0,0,0
2023-02-20 05:50:00+00:00,0,0,77,0,29,0,0,0,0,0
2023-02-20 06:00:00+00:00,1,0,100,0,31,0,1,0,2,0
2023-02-20 06:10:00+00:00,0,0,87,0,22,0,0,0,0,0
2023-02-20 06:20:00+00:00,0,0,79,0,21,0,0,0,0,0
2023-02-20 06:30:00+00:00,4,0,97,0,25,1,0,1,1,0
2023-02-20 06:40:00+00:00,0,1,96,1,24,0,0,0,0,0
2023-02-20 06:50:00+00:00,2,0,67,0,21,0,2,1,0,0
2023-02-20 07:00:00+00:00,2,0,71,0,24,1,0,0,0,0
2023-02-20 07:10:00+00:00,0,0,74,0,22,0,0,0,0,0
2023-02-20 07:20:00+00:00,0,0,65,2,18,2,1,0,0,0
2023-02-20 07:30:00+00:00,2,0,64,0,19,0,1,1,0,0
2023-02-20 07:40:00+00:00,1,0,88,0,25,0,0,0,0,0
2023-02-20 07:50:00+00:00,0,0,44,0,13,0,0,0,0,0
2023-02-20 08:00:00+00:00,0,0,55,0,23,0,0,0,0,0
2023-02-20 08:10:00+00:00,0,0,67,0,18,0,1,0,0,0
2023-02-20 08:20:00+00:00,5,0,51,0,14,0,0,0,0,0
2023-02-20 08:30:00+00:00,2,1,45,0,12,0,1,2,0,0
2023-02-20 08:40:00+00:00,0,0,50,0,29,0,1,0,0,0
2023-02-20 08:50:00+00:00,0,0,47,0,15,0,0,0,0,0
2023-02-20 09:00:00+00:00,0,0,42,0,13,0,1,0,0,0
2023-02-20 09:10:00+00:00,0,0,48,0,16,0,0,0,0,0
2023-02-20 09:20:00+00:00,4,0,39,0,18,0,0,0,0,0
2023-02-20 09:30:00+00:00,2,0,56,0,21,1,0,0,0,0
2023-02-20 09:40:00+00:00,4,0,36,0,13,0,1,0,0,0
2023-02-20 09:50:00+00:00,0,0,49,2,18,0,1,0,0,0
2023-02-20 10:00:00+00:00,0,0,57,0,13,0,0,0,1,0
2023-02-20 10:10:00+00:00,1,0,42,0,9,0,0,0,0,0
2023-02-20 10:20:00+00:00,7,0,39,0,10,0,1,0,0,0
2023-02-20 10:30:00+00:00,0,0,59,0,10,0,0,0,0,0
2023-02-20 10:40:00+00:00,0,0,52,0,10,0,0,0,0,0
2023-02-20 10:50:00+00:00,0,0,41,0,15,0,0,0,0,0
2023-02-20 11:00:00+00:00,1,0,52,0,17,2,2,0,0,0
2023-02-20 11:10:00+00:00,0,0,48,0,12,0,0,0,0,0
2023-02-20 11:20:00+00:00,0,0,51,0,9,0,0,0,0,0
2023-02-20 11:30:00+00:00,0,0,51,0,11,0,0,0,0,0
2023-02-20 11:40:00+00:00,0,0,49,1,13,0,0,0,0,0
2023-02-20 11:50:00+00:00,1,0,38,0,9,0,0,0,1,0
2023-02-20 12:00:00+00:00,1,0,45,0,10,0,0,0,0,0
2023-02-20 12:10:00+00:00,0,0,57,0,12,0,0,0,0,0
2023-02-20 12:20:00+00:00,2,0,57,0,19,0,0,0,0,1
2023-02-20 12:30:00+00:00,2,0,55,0,18,0,1,0,0,1
2023-02-20 12:40:00+00:00,0,0,58,0,21,0,1,0,0,0
2023-02-20 12:50:00+00:00,0,0,44,1,17,1,1,0,0,0
2023-02-20 13:00:00+00:00,0,0,51,1,24,0,3,0,0,0
2023-02-20 13:10:00+00:00,0,0,68,0,20,0,1,0,0,0
2023-02-20 13:20:00+00:00,0,0,64,0,19,0,3,0,0,0
2023-02-20 13:30:00+00:00,0,0,68,0,20,0,1,0,0,0
2023-02-20 13:40:00+00:00,3,0,53,1,16,0,0,0,0,0
2023-02-20 13:50:00+00:00,1,0,50,0,16,0,0,0,0,0
