,Motorrad (R),LKW (S),LKW (R),Transporter (S),Kleintransporter (R),Kleintransporter (S),PKW (S),Fahrräder,Motorrad (S),PKW (R),Transporter (R)
2023-02-20 05:30:00+00:00,,0,,19,,0,22,10,2,,
2023-02-20 05:40:00+00:00,,1,,15,,1,36,6,4,,
2023-02-20 05:50:00+00:00,,4,,19,,3,32,13,5,,
2023-02-20 06:00:00+00:00,,7,,22,,0,28,11,2,,
2023-02-20 06:10:00+00:00,,2,,13,,0,18,7,3,,
2023-02-20 06:20:00+00:00,,3,,17,,2,22,10,1,,
2023-02-20 06:30:00+00:00,,0,,17,,0,41,17,2,,
2023-02-20 06:40:00+00:00,,1,,16,,7,35,9,1,,
2023-02-20 06:50:00+00:00,,4,,18,,2,16,16,0,,
2023-02-20 07:00:00+00:00,,0,,31,,0,41,20,0,,
2023-02-20 07:10:00+00:00,,2,,21,,2,24,29,3,,
2023-02-20 07:20:00+00:00,,0,,21,,1,28,27,0,,
2023-02-20 07:30:00+00:00,,3,,17,,4,37,28,0,,
2023-02-20 07:40:00+00:00,,0,,23,,0,46,29,0,,
2023-02-20 07:50:00+00:00,,1,,25,,0,36,27,1,,
2023-02-20 08:00:00+00:00,,0,,27,,0,35,21,1,,
2023-02-20 08:10:00+00:00,,2,,14,,0,24,25,2,,
2023-02-20 08:20:00+00:00,,0,,21,,1,28,19,1,,
2023-02-20 08:30:00+00:00,,0,,21,,1,28,8,1,,
2023-02-20 08:40:00+00:00,,0,,26,,0,34,15,1,,
2023-02-20 08:50:00+00:00,,0,,13,,0,47,16,1,,
2023-02-20 09:00:00+00:00,,0,,25,,0,35,11,4,,
2023-02-20 09:10:00+00:00,,0,,29,,0,29,11,2,,
2023-02-20 09:20:00+00:00,,0,,20,,0,29,13,3,,
2023-02-20 09:30:00+00:00,,1,,25,,0,39,9,0,,
2023-02-20 09:40:00+00:00,,6,,15,,10,35,10,0,,
2023-02-20 09:50:00+00:00,,3,,17,,3,50,6,3,,
2023-02-20 10:00:00+00:00,,0,,26,,0,42,11,1,,
2023-02-20 10:10:00+00:00,,0,,18,,0,26,15,0,,
2023-02-20 10:20:00+00:00,,2,,26,,0,31,12,0,,
2023-02-20 10:30:00+00:00,,0,,16,,2,34,16,2,,
2023-02-20 10:40:00+00:00,,3,,17,,4,49,13,1,,
2023-02-20 10:50:00+00:00,,0,,20,,0,45,16,1,,
2023-02-20 11:00:00+00:00,,0,,18,,0,54,16,3,,
2023-02-20 11:10:00+00:00,,0,,16,,0,47,21,4,,
2023-02-20 11:20:00+00:00,,0,,22,,0,35,18,1,,
2023-02-20 11:30:00+00:00,,0,,14,,0,38,11,2,,
2023-02-20 11:40:00+00:00,,1,,16,,1,44,15,1,,
2023-02-20 11:50:00+00:00,,2,,18,,1,49,11,2,,
2023-02-20 12:00:00+00:00,,0,,14,,0,49,16,3,,
2023-02-20 12:10:00+00:00,,4,,14,,3,39,16,3,,
2023-02-20 12:20:00+00:00,,2,,21,,2,50,11,0,,
2023-02-20 12:30:00+00:00,,2,,26,,0,24,12,2,,
2023-02-20 12:40:00+00:00,,2,,18,,2,40,13,2,,
2023-02-20 12:50:00+00:00,,0,,7,,1,56,16,5,,
2023-02-20 13:00:00+00:00,,0,,28,,0,55,14,6,,
2023-02-20 13:10:00+00:00,,0,,20,,0,32,23,3,,
2023-02-20 13:20:00+00:00,,2,,20,,0,53,13,1,,
2023-02-20 13:30:00+00:00,,1,,13,,1,57,20,0,,
2023-02-20 13:40:00+00:00,,0,,16,,0,60,14,1,,
2023-02-20 13:50:00+00:00,,2,,23,,0,51,24,2,,
2023-02-20 14:00:00+00:00,,0,,14,,1,66,18,4,,
2023-02-20 14:10:00+00:00,,2,,13,,2,57,23,3,,
2023-02-20 14:20:00+00:00,,2,,27,,2,75,20,4,,
2023-02-20 14:30:00+00:00,,4,,15,,1,99,18,4,,
2023-02-20 14:40:00+00:00,,0,,32,,1,68,14,7,,
2023-02-20 14:50:00+00:00,,1,,12,,0,82,14,2,,
2023-02-20 15:00:00+00:00,,1,,19,,1,74,14,1,,
2023-02-20 15:10:00+00:00,,1,,24,,0,58,19,2,,
2023-02-20 15:20:00+00:00,,4,,15,,3,71,15,0,,
2023-02-20 15:30:00+00:00,,1,,20,,0,62,26,4,,
2023-02-20 15:40:00+00:00,,4,,32,,3,58,14,2,,
2023-02-20 15:50:00+00:00,,2,,18,,4,66,11,5,,
2023-02-20 16:00:00+00:00,,2,,23,,1,54,27,3,,
2023-02-20 16:10:00+00:00,,2,,19,,0,74,24,3,,
2023-02-20 16:20:00+00:00,,1,,26,,0,36,20,4,,
2023-02-20 16:30:00+00:00,,0,,23,,0,48,21,0,,
2023-02-20 16:40:00+00:00,,1,,23,,0,34,22,3,,
2023-02-20 16:50:00+00:00,,1,,21,,0,36,21,2,,
2023-02-20 17:00:00+00:00,,0,,18,,2,36,20,4,,
2023-02-20 17:10:00+00:00,,1,,28,,0,34,25,1,,
2023-02-20 17:20:00+00:00,,0,,25,,0,56,32,0,,
2023-02-20 17:30:00+00:00,,0,,21,,0,29,16,0,,
2023-02-20 17:40:00+00:00,,1,,21,,0,18,23,4,,
2023-02-20 17:50:00+00:00,,0,,23,,2,22,18,1,,
2023-02-20 18:00:00+00:00,,1,,17,,2,29,24,0,,
2023-02-20 18:10:00+00:00,,0,,20,,0,31,11,2,,
2023-02-20 18:20:00+00:00,,0,,15,,0,37,14,2,,
2023-02-20 18:30:00+00:00,,2,,11,,1,37,17,0,,
2023-02-20 18:40:00+00:00,,0,,20,,0,22,18,1,,
2023-02-20 18:50:00+00:00,,1,,13,,0,28,9,0,,
2023-02-20 19:00:00+00:00,,5,,16,,2,23,21,2,,
2023-02-20 19:10:00+00:00,,2,,15,,0,15,12,3,,
2023-02-20 19:20:00+00:00,,1,,17,,1,31,15,0,,
2023-02-20 19:30:00+00:00,,0,,8,,1,29,15,1,,
2023-02-20 19:40:00+00:00,,0,,12,,0,36,5,0,,
2023-02-20 19:50:00+00:00,,2,,13,,1,29,12,2,,
2023-02-20 20:00:00+00:00,,0,,8,,0,43,10,1,,
2023-02-20 20:10:00+00:00,,3,,12,,1,13,5,1,,
2023-02-20 20:20:00+00:00,,2,,10,,0,11,6,0,,
2023-02-20 20:30:00+00:00,,1,,15,,0,18,8,0,,
2023-02-20 20:40:00+00:00,,0,,3,,0,18,2,0,,
2023-02-20 20:50:00+00:00,,2,,5,,1,10,8,1,,
2023-02-20 21:00:00+00:00,,0,,4,,1,18,8,0,,
2023-02-20 21:10:00+00:00,,0,,6,,1,11,12,0,,
2023-02-20 21:20:00+00:00,,1,,5,,0,16,12,2,,
2023-02-20 21:30:00+00:00,,2,,11,,0,14,4,1,,
2023-02-20 21:40:00+00:00,,1,,14,,0,23,8,1,,
2023-02-20 21:50:00+00:00,,0,,6,,0,10,7,1,,
2023-02-20 22:00:00+00:00,,0,,3,,0,14,7,1,,
2023-02-20 22:10:00+00:00,,1,,4,,0,13,4,1,,
2023-02-20 22:20:00+00:00,,2,,3,,1,4,13,1,,
2023-02-20 22:30:00+00:00,,3,,1,,1,15,4,0,,
2023-02-20 22:40:00+00:00,,0,,3,,0,8,3,0,,
2023-02-20 22:50:00+00:00,,2,,3,,1,10,3,0,,
2023-02-20 23:00:00+00:00,,0,,1,,0,7,1,0,,
2023-02-20 23:10:00+00:00,,0,,1,,2,7,5,1,,
2023-02-20 23:20:00+00:00,,1,,1,,2,1,1,0,,
2023-02-20 23:30:00+00:00,,1,,2,,0,5,2,2,,
2023-02-20 23:40:00+00:00,,0,,0,,3,1,0,0,,
2023-02-20 23:50:00+00:00,,1,,1,,1,2,3,0,,
2023-02-21 00:00:00+00:00,,0,,1,,0,2,1,1,,
2023-02-21 00:10:00+00:00,,2,,3,,0,3,2,0,,
2023-02-21 00:20:00+00:00,,0,,1,,0,1,0,0,,
2023-02-21 00:30:00+00:00,,0,,0,,0,5,0,0,,
2023-02-21 00:40:00+00:00,,0,,1,,0,1,0,0,,
2023-02-21 00:50:00+00:00,,0,,1,,0,4,1,0,,
2023-02-21 01:00:00+00:00,,0,,2,,0,0,0,0,,
2023-02-21 01:10:00+00:00,,2,,0,,0,1,0,0,,
2023-02-21 01:20:00+00:00,,1,,0,,0,2,2,0,,
2023-02-21 01:30:00+00:00,,0,,0,,0,0,1,0,,
2023-02-21 01:40:00+00:00,,0,,1,,0,2,1,0,,
2023-02-21 01:50:00+00:00,,0,,0,,0,1,2,0,,
2023-02-21 02:00:00+00:00,,0,,2,,0,0,0,0,,
2023-02-21 02:10:00+00:00,,2,,0,,0,3,1,0,,
2023-02-21 02:20:00+00:00,,0,,1,,0,2,2,1,,
2023-02-21 02:30:00+00:00,,0,,3,,0,1,2,0,,
2023-02-21 02:40:00+00:00,,0,,3,,0,2,1,0,,
2023-02-21 02:50:00+00:00,,0,,0,,0,2,0,0,,
2023-02-21 03:00:00+00:00,,0,,1,,0,1,1,0,,
2023-02-21 03:10:00+00:00,,0,,1,,0,3,2,0,,
2023-02-21 03:20:00+00:00,,0,,0,,0,4,2,0,,
2023-02-21 03:30:00+00:00,,0,,2,,2,11,0,0,,
2023-02-21 03:40:00+00:00,,1,,0,,2,3,3,0,,
2023-02-21 03:50:00+00:00,,0,,1,,1,9,1,1,,
2023-02-21 04:00:00+00:00,,0,,1,,0,4,1,0,,
2023-02-21 04:10:00+00:00,,1,,1,,3,1,4,2,,
2023-02-21 04:20:00+00:00,,2,,2,,3,3,0,1,,
2023-02-21 04:30:00+00:00,,0,,3,,0,17,2,0,,
2023-02-21 04:40:00+00:00,,0,,8,,0,20,7,1,,
2023-02-21 04:50:00+00:00,,2,,9,,0,19,8,0,,
2023-02-21 05:00:00+00:00,,0,,11,,1,23,3,0,,
2023-02-21 05:10:00+00:00,,2,,7,,1,18,5,0,,
2023-02-21 05:20:00+00:00,,2,,16,,0,19,8,1,,
2023-02-21 05:30:00+00:00,,0,,19,,0,23,6,1,,
2023-02-21 05:40:00+00:00,,1,,16,,1,29,7,0,,
2023-02-21 05:50:00+00:00,,1,,22,,1,17,8,2,,
2023-02-21 06:00:00+00:00,,0,,21,,0,30,8,0,,
2023-02-21 06:10:00+00:00,,1,,20,,0,30,12,2,,
2023-02-21 06:20:00+00:00,,2,,24,,2,16,10,2,,
2023-02-21 06:30:00+00:00,,1,,18,,0,25,8,3,,
2023-02-21 06:40:00+00:00,,2,,15,,1,29,12,0,,
2023-02-21 06:50:00+00:00,,0,,28,,1,42,18,3,,
2023-02-21 07:00:00+00:00,,1,,34,,0,28,22,1,,
2023-02-21 07:10:00+00:00,,0,,17,,0,29,23,2,,
2023-02-21 07:20:00+00:00,,0,,26,,0,26,24,0,,
2023-02-21 07:30:00+00:00,,2,,24,,6,23,31,4,,
2023-02-21 07:40:00+00:00,,1,,32,,1,29,36,1,,
2023-02-21 07:50:00+00:00,,0,,35,,0,36,35,0,,
2023-02-21 08:00:00+00:00,,2,,26,,0,28,20,1,,
2023-02-21 08:10:00+00:00,,2,,18,,0,17,29,0,,
2023-02-21 08:20:00+00:00,,1,,24,,0,34,16,1,,
2023-02-21 08:30:00+00:00,,2,,20,,0,42,18,0,,
2023-02-21 08:40:00+00:00,,1,,22,,3,33,11,1,,
2023-02-21 08:50:00+00:00,,4,,26,,1,24,18,0,,
2023-02-21 09:00:00+00:00,,3,,34,,2,40,18,4,,
2023-02-21 09:10:00+00:00,,1,,33,,4,34,18,5,,
2023-02-21 09:20:00+00:00,,0,,26,,0,38,22,0,,
2023-02-21 09:30:00+00:00,,0,,14,,0,21,24,0,,
2023-02-21 09:40:00+00:00,,0,,19,,0,41,9,0,,
2023-02-21 09:50:00+00:00,,2,,16,,1,18,8,1,,
2023-02-21 10:00:00+00:00,,0,,21,,0,36,13,2,,
2023-02-21 10:10:00+00:00,,0,,18,,0,32,6,0,,
2023-02-21 10:20:00+00:00,,0,,20,,0,27,17,0,,
2023-02-21 10:30:00+00:00,,0,,13,,0,38,9,2,,
2023-02-21 10:40:00+00:00,,1,,22,,1,25,10,3,,
2023-02-21 10:50:00+00:00,,2,,17,,0,51,16,2,,
2023-02-21 11:00:00+00:00,,3,,22,,0,37,18,4,,
2023-02-21 11:10:00+00:00,,0,,26,,0,27,16,1,,
2023-02-21 11:20:00+00:00,,1,,19,,0,45,17,0,,
2023-02-21 11:30:00+00:00,,0,,23,,0,33,19,2,,
2023-02-21 11:40:00+00:00,,3,,14,,0,48,19,1,,
2023-02-21 11:50:00+00:00,,0,,17,,0,31,15,1,,
2023-02-21 12:00:00+00:00,,3,,14,,1,37,23,1,,
2023-02-21 12:10:00+00:00,,0,,16,,1,28,15,2,,
2023-02-21 12:20:00+00:00,,1,,19,,1,49,15,1,,
2023-02-21 12:30:00+00:00,,0,,20,,0,24,23,0,,
2023-02-21 12:40:00+00:00,,0,,20,,0,36,15,3,,
2023-02-21 12:50:00+00:00,,0,,15,,1,25,15,2,,
2023-02-21 13:00:00+00:00,,3,,11,,4,65,16,1,,
2023-02-21 13:10:00+00:00,,0,,14,,0,22,27,1,,
2023-02-21 13:20:00+00:00,,1,,24,,0,54,14,1,,
2023-02-21 13:30:00+00:00,,0,,15,,0,69,13,1,,
2023-02-21 13:40:00+00:00,,0,,20,,0,57,15,2,,
2023-02-21 13:50:00+00:00,,0,,19,,0,45,17,4,,
2023-02-21 14:00:00+00:00,,2,,27,,0,53,16,1,,
2023-02-21 14:10:00+00:00,,0,,18,,0,64,14,4,,
2023-02-21 14:20:00+00:00,,1,,22,,0,46,20,4,,
2023-02-21 14:30:00+00:00,,4,,16,,1,83,17,3,,
2023-02-21 14:40:00+00:00,,0,,21,,3,45,20,2,,
2023-02-21 14:50:00+00:00,,2,,22,,0,37,13,4,,
2023-02-21 15:00:00+00:00,,0,,32,,0,42,24,2,,
2023-02-21 15:10:00+00:00,,0,,18,,0,44,22,4,,
2023-02-21 15:20:00+00:00,,0,,17,,0,51,31,4,,
2023-02-21 15:30:00+00:00,,0,,25,,0,52,27,2,,
2023-02-21 15:40:00+00:00,,5,,25,,1,73,19,3,,
2023-02-21 15:50:00+00:00,,0,,33,,1,65,35,10,,
2023-02-21 16:00:00+00:00,,0,,25,,0,72,19,9,,
2023-02-21 16:10:00+00:00,,0,,14,,0,49,24,6,,
2023-02-21 16:20:00+00:00,,0,,20,,0,48,24,0,,
2023-02-21 16:30:00+00:00,,2,,20,,0,42,17,4,,
2023-02-21 16:40:00+00:00,,0,,24,,0,45,23,1,,
2023-02-21 16:50:00+00:00,,1,,33,,0,42,28,1,,
2023-02-21 17:00:00+00:00,,2,,20,,0,59,35,1,,
2023-02-21 17:10:00+00:00,,1,,12,,0,39,26,1,,
2023-02-21 17:20:00+00:00,,0,,29,,1,36,29,3,,
2023-02-21 17:30:00+00:00,,3,,16,,2,33,29,2,,
2023-02-21 17:40:00+00:00,,0,,15,,0,33,19,3,,
2023-02-21 17:50:00+00:00,,0,,17,,0,41,25,1,,
2023-02-21 18:00:00+00:00,,0,,20,,2,43,25,0,,
2023-02-21 18:10:00+00:00,,1,,20,,0,16,23,4,,
2023-02-21 18:20:00+00:00,,0,,14,,1,30,20,2,,
2023-02-21 18:30:00+00:00,,6,,12,,3,37,20,1,,
2023-02-21 18:40:00+00:00,,0,,15,,0,28,9,0,,
2023-02-21 18:50:00+00:00,,0,,17,,1,24,11,1,,
2023-02-21 19:00:00+00:00,,1,,8,,1,28,15,0,,
2023-02-21 19:10:00+00:00,,1,,8,,1,44,9,1,,
2023-02-21 19:20:00+00:00,,1,,15,,2,25,9,2,,
2023-02-21 19:30:00+00:00,,1,,14,,1,18,21,1,,
2023-02-21 19:40:00+00:00,,1,,10,,0,17,9,0,,
2023-02-21 19:50:00+00:00,,0,,15,,0,30,2,1,,
2023-02-21 20:00:00+00:00,,1,,11,,1,30,5,1,,
2023-02-21 20:10:00+00:00,,1,,10,,0,13,11,1,,
2023-02-21 20:20:00+00:00,,0,,3,,1,29,8,3,,
2023-02-21 20:30:00+00:00,,2,,3,,1,42,9,2,,
2023-02-21 20:40:00+00:00,,1,,4,,0,6,12,2,,
2023-02-21 20:50:00+00:00,,0,,16,,0,14,16,1,,
2023-02-21 21:00:00+00:00,,0,,7,,0,34,8,2,,
2023-02-21 21:10:00+00:00,,2,,9,,0,16,9,3,,
2023-02-21 21:20:00+00:00,,0,,6,,0,14,10,2,,
2023-02-21 21:30:00+00:00,,0,,12,,0,17,14,0,,
2023-02-21 21:40:00+00:00,,0,,5,,0,28,9,0,,
2023-02-21 21:50:00+00:00,,3,,5,,2,25,7,0,,
2023-02-21 22:00:00+00:00,,1,,4,,6,9,5,2,,
2023-02-21 22:10:00+00:00,,2,,8,,0,10,5,1,,
2023-02-21 22:20:00+00:00,,0,,10,,0,7,6,3,,
2023-02-21 22:30:00+00:00,,3,,6,,0,7,10,3,,
2023-02-21 22:40:00+00:00,,0,,2,,0,7,7,0,,
2023-02-21 22:50:00+00:00,,0,,4,,0,11,7,0,,
2023-02-21 23:00:00+00:00,,0,,6,,0,3,5,0,,
2023-02-21 23:10:00+00:00,,5,,2,,3,4,3,0,,
2023-02-21 23:20:00+00:00,,1,,0,,3,8,4,1,,
2023-02-21 23:30:00+00:00,,0,,5,,0,19,3,1,,
2023-02-21 23:40:00+00:00,,0,,4,,0,0,4,0,,
2023-02-21 23:50:00+00:00,,0,,1,,0,2,2,0,,
2023-02-22 00:00:00+00:00,,0,,2,,0,3,3,0,,
2023-02-22 00:10:00+00:00,,0,,2,,0,3,3,0,,
2023-02-22 00:20:00+00:00,,0,,0,,0,4,3,0,,
2023-02-22 00:30:00+00:00,,0,,0,,0,8,0,0,,
2023-02-22 00:40:00+00:00,,0,,2,,0,3,2,0,,
2023-02-22 00:50:00+00:00,,0,,1,,0,4,2,0,,
2023-02-22 01:00:00+00:00,,0,,1,,0,2,1,0,,
2023-02-22 01:10:00+00:00,,0,,3,,0,0,1,1,,
2023-02-22 01:20:00+00:00,,0,,0,,0,1,0,0,,
2023-02-22 01:30:00+00:00,,0,,0,,0,2,1,0,,
2023-02-22 01:50:00+00:00,,0,,0,,0,2,1,0,,
2023-02-22 02:00:00+00:00,,0,,1,,0,1,0,0,,
2023-02-22 02:10:00+00:00,,1,,1,,1,0,3,1,,
2023-02-22 02:20:00+00:00,,0,,0,,0,1,0,0,,
2023-02-22 02:30:00+00:00,,2,,0,,2,0,1,0,,
2023-02-22 02:40:00+00:00,,0,,0,,0,0,0,0,,
2023-02-22 02:50:00+00:00,,0,,0,,0,0,0,0,,
2023-02-22 03:00:00+00:00,,0,,0,,0,1,1,0,,
2023-02-22 03:10:00+00:00,,2,,1,,0,0,2,0,,
2023-02-22 03:20:00+00:00,,0,,2,,0,0,0,0,,
2023-02-22 03:30:00+00:00,,2,,1,,0,4,1,0,,
2023-02-22 03:40:00+00:00,,0,,0,,0,1,5,0,,
2023-02-22 03:50:00+00:00,,0,,2,,0,3,1,0,,
2023-02-22 04:00:00+00:00,,0,,2,,0,1,3,0,,
2023-02-22 04:10:00+00:00,,1,,6,,2,4,2,0,,
2023-02-22 04:20:00+00:00,,1,,2,,0,5,2,0,,
2023-02-22 04:30:00+00:00,,3,,4,,0,1,2,2,,
2023-02-22 04:40:00+00:00,,0,,5,,0,20,7,0,,
2023-02-22 04:50:00+00:00,,1,,10,,0,13,2,5,,
2023-02-22 05:00:00+00:00,,1,,7,,0,13,3,1,,
2023-02-22 05:10:00+00:00,,0,,11,,0,16,4,2,,
2023-02-22 05:20:00+00:00,,0,,7,,0,17,7,3,,
2023-02-22 05:30:00+00:00,,1,,14,,0,28,8,2,,
2023-02-22 05:40:00+00:00,,2,,15,,0,21,7,2,,
2023-02-22 05:50:00+00:00,,5,,20,,1,37,9,5,,
2023-02-22 06:00:00+00:00,,0,,22,,0,40,15,4,,
2023-02-22 06:10:00+00:00,,0,,12,,2,20,14,2,,
2023-02-22 06:20:00+00:00,,1,,19,,2,55,11,2,,
2023-02-22 06:30:00+00:00,,0,,15,,0,21,21,3,,
2023-02-22 06:40:00+00:00,,0,,26,,0,37,16,4,,
2023-02-22 06:50:00+00:00,,1,,25,,0,31,21,5,,
2023-02-22 07:00:00+00:00,,0,,31,,0,35,15,3,,
2023-02-22 07:10:00+00:00,,0,,26,,0,31,27,3,,
2023-02-22 07:20:00+00:00,,0,,27,,2,36,26,0,,
2023-02-22 07:30:00+00:00,,1,,26,,1,22,40,0,,
2023-02-22 07:40:00+00:00,,0,,25,,2,44,25,2,,
2023-02-22 07:50:00+00:00,,0,,22,,0,38,23,0,,
2023-02-22 08:00:00+00:00,,3,,41,,1,38,35,1,,
2023-02-22 08:10:00+00:00,,0,,24,,1,38,25,2,,
2023-02-22 08:20:00+00:00,,0,,25,,1,36,21,0,,
2023-02-22 08:30:00+00:00,,1,,25,,0,25,17,3,,
2023-02-22 08:40:00+00:00,,1,,29,,1,19,12,1,,
2023-02-22 08:50:00+00:00,,1,,21,,3,23,13,4,,
2023-02-22 09:00:00+00:00,,0,,35,,0,36,14,0,,
2023-02-22 09:10:00+00:00,,3,,30,,0,34,17,2,,
2023-02-22 09:20:00+00:00,,1,,30,,6,28,25,0,,
2023-02-22 09:30:00+00:00,,0,,20,,0,37,12,1,,
2023-02-22 09:40:00+00:00,,0,,22,,1,51,10,3,,
2023-02-22 09:50:00+00:00,,1,,29,,0,38,13,1,,
2023-02-22 10:00:00+00:00,,3,,16,,0,40,15,1,,
2023-02-22 10:10:00+00:00,,0,,22,,0,39,11,1,,
2023-02-22 10:20:00+00:00,,1,,25,,0,42,14,3,,
2023-02-22 10:30:00+00:00,,0,,24,,0,39,13,1,,
2023-02-22 10:40:00+00:00,,1,,18,,1,28,8,2,,
2023-02-22 10:50:00+00:00,,2,,20,,0,29,9,2,,
2023-02-22 11:00:00+00:00,,3,,17,,1,51,19,3,,
2023-02-22 11:10:00+00:00,,0,,18,,2,30,17,0,,
2023-02-22 11:20:00+00:00,,4,,15,,0,34,11,1,,
2023-02-22 11:30:00+00:00,,4,,15,,0,36,12,2,,
2023-02-22 11:40:00+00:00,,5,,24,,2,41,10,2,,
2023-02-22 11:50:00+00:00,,1,,14,,0,40,10,1,,
2023-02-22 12:00:00+00:00,,0,,24,,0,38,19,2,,
2023-02-22 12:10:00+00:00,,0,,23,,4,32,13,1,,
2023-02-22 12:20:00+00:00,,0,,18,,0,41,19,1,,
2023-02-22 12:30:00+00:00,,0,,24,,0,23,13,1,,
2023-02-22 12:40:00+00:00,,1,,16,,0,44,18,2,,
2023-02-22 12:50:00+00:00,,0,,19,,1,62,28,5,,
2023-02-22 13:00:00+00:00,,0,,18,,0,37,14,2,,
2023-02-22 13:10:00+00:00,,1,,18,,0,34,21,2,,
2023-02-22 13:20:00+00:00,,1,,18,,1,53,8,1,,
2023-02-22 13:30:00+00:00,,0,,13,,0,39,12,2,,
2023-02-22 13:40:00+00:00,,3,,23,,1,58,17,5,,
2023-02-22 13:50:00+00:00,,1,,29,,0,62,10,8,,
2023-02-22 14:00:00+00:00,,2,,28,,1,41,19,2,,
2023-02-22 14:10:00+00:00,,3,,17,,0,48,12,5,,
2023-02-22 14:20:00+00:00,,1,,14,,0,79,17,3,,
2023-02-22 14:30:00+00:00,,1,,18,,0,55,11,8,,
2023-02-22 14:40:00+00:00,,5,,20,,2,56,10,2,,
2023-02-22 14:50:00+00:00,,0,,19,,0,54,19,2,,
2023-02-22 15:00:00+00:00,,0,,20,,1,71,14,4,,
2023-02-22 15:10:00+00:00,,0,,17,,0,51,14,2,,
2023-02-22 15:20:00+00:00,,1,,27,,3,46,14,2,,
2023-02-22 15:30:00+00:00,,3,,32,,2,50,17,5,,
2023-02-22 15:40:00+00:00,,0,,29,,0,37,14,2,,
2023-02-22 15:50:00+00:00,,1,,34,,2,44,18,4,,
2023-02-22 16:00:00+00:00,,1,,23,,1,66,16,1,,
2023-02-22 16:10:00+00:00,,1,,28,,1,57,16,4,,
2023-02-22 16:20:00+00:00,,4,,29,,1,45,13,1,,
2023-02-22 16:30:00+00:00,,1,,23,,2,52,18,2,,
2023-02-22 16:40:00+00:00,,2,,31,,0,58,13,0,,
2023-02-22 16:50:00+00:00,,0,,40,,0,30,30,0,,
2023-02-22 17:00:00+00:00,,1,,21,,2,50,24,2,,
2023-02-22 17:10:00+00:00,,1,,27,,2,40,13,2,,
2023-02-22 17:20:00+00:00,,0,,25,,0,51,20,2,,
2023-02-22 17:30:00+00:00,,2,,18,,0,38,22,0,,
2023-02-22 17:40:00+00:00,,1,,24,,0,35,19,1,,
2023-02-22 17:50:00+00:00,,0,,23,,0,31,19,3,,
2023-02-22 18:00:00+00:00,,3,,14,,2,46,18,0,,
2023-02-22 18:10:00+00:00,,2,,12,,2,44,14,0,,
2023-02-22 18:20:00+00:00,,1,,11,,2,28,21,1,,
2023-02-22 18:30:00+00:00,,1,,11,,2,28,25,1,,
2023-02-22 18:40:00+00:00,,0,,17,,0,36,18,0,,
2023-02-22 18:50:00+00:00,,3,,13,,2,18,15,0,,
2023-02-22 19:00:00+00:00,,1,,24,,1,26,14,0,,
2023-02-22 19:10:00+00:00,,0,,12,,0,38,21,0,,
2023-02-22 19:20:00+00:00,,0,,20,,1,24,8,1,,
2023-02-22 19:30:00+00:00,,4,,13,,0,24,11,0,,
2023-02-22 19:40:00+00:00,,0,,11,,2,31,15,1,,
2023-02-22 19:50:00+00:00,,1,,14,,0,26,7,2,,
2023-02-22 20:00:00+00:00,,4,,12,,4,8,13,0,,
2023-02-22 20:10:00+00:00,,2,,10,,1,15,13,3,,
2023-02-22 20:20:00+00:00,,2,,14,,3,12,14,0,,
2023-02-22 20:30:00+00:00,,4,,10,,0,16,7,0,,
2023-02-22 20:40:00+00:00,,0,,10,,0,12,12,0,,
2023-02-22 20:50:00+00:00,,2,,11,,0,7,11,2,,
2023-02-22 21:00:00+00:00,,3,,6,,0,9,8,1,,
2023-02-22 21:10:00+00:00,,0,,9,,0,9,10,0,,
2023-02-22 21:20:00+00:00,,0,,11,,0,9,6,2,,
2023-02-22 21:30:00+00:00,,0,,8,,0,12,10,0,,
2023-02-22 21:40:00+00:00,,0,,6,,0,21,6,0,,
2023-02-22 21:50:00+00:00,,0,,8,,0,12,3,1,,
2023-02-22 22:00:00+00:00,,0,,3,,0,11,6,1,,
2023-02-22 22:10:00+00:00,,0,,10,,0,3,5,1,,
2023-02-22 22:20:00+00:00,,0,,6,,0,4,3,1,,
2023-02-22 22:30:00+00:00,,0,,6,,0,6,2,0,,
2023-02-22 22:40:00+00:00,,0,,4,,1,8,3,0,,
2023-02-22 22:50:00+00:00,,0,,2,,1,5,4,0,,
2023-02-22 23:00:00+00:00,,0,,0,,1,1,7,0,,
2023-02-22 23:10:00+00:00,,0,,3,,0,5,3,0,,
2023-02-22 23:20:00+00:00,,0,,2,,0,4,2,0,,
2023-02-22 23:30:00+00:00,,2,,1,,0,2,1,0,,
2023-02-22 23:40:00+00:00,,2,,0,,0,2,2,2,,
2023-02-22 23:50:00+00:00,,1,,1,,0,1,0,0,,
2023-02-23 00:00:00+00:00,,0,,0,,0,1,1,1,,
2023-02-23 00:10:00+00:00,,0,,1,,0,4,2,1,,
2023-02-23 00:20:00+00:00,,0,,0,,0,2,0,0,,
2023-02-23 00:30:00+00:00,,0,,0,,0,0,0,0,,
2023-02-23 00:40:00+00:00,,0,,2,,0,0,0,0,,
2023-02-23 00:50:00+00:00,,0,,0,,0,2,2,0,,
2023-02-23 01:00:00+00:00,,0,,1,,0,0,0,0,,
2023-02-23 01:10:00+00:00,,0,,1,,0,2,0,1,,
2023-02-23 01:20:00+00:00,,0,,0,,0,2,0,0,,
2023-02-23 01:30:00+00:00,,0,,0,,0,1,1,2,,
2023-02-23 01:40:00+00:00,,0,,0,,0,1,1,0,,
