timestamp,SC1,SC2,SC3,SC4,SC5,Bikes
2023-12-11 02:50:00,0,7,0,0,0,0
2023-12-11 02:40:00,0,4,0,3,0,1
2023-12-11 02:30:00,0,6,0,0,0,0
2023-12-11 02:20:00,0,7,0,1,0,0
2023-12-11 02:10:00,0,3,0,1,0,1
2023-12-11 02:00:00,0,4,0,0,0,0
2023-12-11 01:50:00,0,7,0,4,0,0
2023-12-11 01:40:00,0,12,0,3,0,1
2023-12-11 01:30:00,0,7,0,2,0,0
2023-12-11 01:20:00,1,6,0,1,0,0
2023-12-11 01:10:00,2,10,0,2,0,1
2023-12-11 01:00:00,0,11,0,3,0,1
2023-12-11 00:50:00,1,15,0,0,0,1
2023-12-11 00:40:00,0,12,0,0,0,3
2023-12-11 00:30:00,0,16,0,2,0,0
2023-12-11 00:20:00,0,18,0,2,0,1
2023-12-11 00:10:00,1,10,2,1,0,0
2023-12-11 00:00:00,0,25,0,1,0,0
