Timestamp;Object_Id;MQ 4.1;; Object_Id_1;MQ 4.2;
03.01.2023 05:00;MQ 4.1 JBB Ri Innenstadt;120;;MQ 4.2 JBB Ri Neckarstadt;207;
03.01.2023 06:00;MQ 4.1 JBB Ri Innenstadt;383;;MQ 4.2 JBB Ri Neckarstadt;767;
03.01.2023 07:00;MQ 4.1 JBB Ri Innenstadt;688;;MQ 4.2 JBB Ri Neckarstadt;752;
03.01.2023 08:00;MQ 4.1 JBB Ri Innenstadt;942;;MQ 4.2 JBB Ri Neckarstadt;819;
03.01.2023 09:00;MQ 4.1 JBB Ri Innenstadt;856;;MQ 4.2 JBB Ri Neckarstadt;798;
03.01.2023 10:00;MQ 4.1 JBB Ri Innenstadt;825;;MQ 4.2 JBB Ri Neckarstadt;717;
03.01.2023 11:00;MQ 4.1 JBB Ri Innenstadt;837;;MQ 4.2 JBB Ri Neckarstadt;810;
03.01.2023 12:00;MQ 4.1 JBB Ri Innenstadt;839;;MQ 4.2 JBB Ri Neckarstadt;835;
03.01.2023 13:00;MQ 4.1 JBB Ri Innenstadt;846;;MQ 4.2 JBB Ri Neckarstadt;942;
03.01.2023 14:00;MQ 4.1 JBB Ri Innenstadt;994;;MQ 4.2 JBB Ri Neckarstadt;1087;
03.01.2023 15:00;MQ 4.1 JBB Ri Innenstadt;1283;;MQ 4.2 JBB Ri Neckarstadt;1109;
03.01.2023 16:00;MQ 4.1 JBB Ri Innenstadt;1220;;MQ 4.2 JBB Ri Neckarstadt;1249;
03.01.2023 17:00;MQ 4.1 JBB Ri Innenstadt;1245;;MQ 4.2 JBB Ri Neckarstadt;1299;
03.01.2023 18:00;MQ 4.1 JBB Ri Innenstadt;1073;;MQ 4.2 JBB Ri Neckarstadt;1167;
03.01.2023 19:00;MQ 4.1 JBB Ri Innenstadt;812;;MQ 4.2 JBB Ri Neckarstadt;895;
03.01.2023 20:00;MQ 4.1 JBB Ri Innenstadt;573;;MQ 4.2 JBB Ri Neckarstadt;598;
03.01.2023 21:00;MQ 4.1 JBB Ri Innenstadt;415;;MQ 4.2 JBB Ri Neckarstadt;323;
03.01.2023 22:00;MQ 4.1 JBB Ri Innenstadt;372;;MQ 4.2 JBB Ri Neckarstadt;490;
03.01.2023 23:00;MQ 4.1 JBB Ri Innenstadt;335;;MQ 4.2 JBB Ri Neckarstadt;309;
03.01.2023 23:59;MQ 4.1 JBB Ri Innenstadt;274;;MQ 4.2 JBB Ri Neckarstadt;222;
04.01.2023 01:00;MQ 4.1 JBB Ri Innenstadt;123;;MQ 4.2 JBB Ri Neckarstadt;147;
04.01.2023 02:00;MQ 4.1 JBB Ri Innenstadt;80;;MQ 4.2 JBB Ri Neckarstadt;105;
04.01.2023 03:00;MQ 4.1 JBB Ri Innenstadt;64;;MQ 4.2 JBB Ri Neckarstadt;76;
04.01.2023 04:00;MQ 4.1 JBB Ri Innenstadt;51;;MQ 4.2 JBB Ri Neckarstadt;71;
04.01.2023 05:00;MQ 4.1 JBB Ri Innenstadt;108;;MQ 4.2 JBB Ri Neckarstadt;210;
04.01.2023 06:00;MQ 4.1 JBB Ri Innenstadt;428;;MQ 4.2 JBB Ri Neckarstadt;775;
04.01.2023 07:00;MQ 4.1 JBB Ri Innenstadt;693;;MQ 4.2 JBB Ri Neckarstadt;800;
04.01.2023 08:00;MQ 4.1 JBB Ri Innenstadt;962;;MQ 4.2 JBB Ri Neckarstadt;848;
04.01.2023 09:00;MQ 4.1 JBB Ri Innenstadt;860;;MQ 4.2 JBB Ri Neckarstadt;763;
04.01.2023 10:00;MQ 4.1 JBB Ri Innenstadt;845;;MQ 4.2 JBB Ri Neckarstadt;761;
04.01.2023 11:00;MQ 4.1 JBB Ri Innenstadt;804;;MQ 4.2 JBB Ri Neckarstadt;769;
04.01.2023 12:00;MQ 4.1 JBB Ri Innenstadt;919;;MQ 4.2 JBB Ri Neckarstadt;893;
04.01.2023 13:00;MQ 4.1 JBB Ri Innenstadt;827;;MQ 4.2 JBB Ri Neckarstadt;1006;
04.01.2023 14:00;MQ 4.1 JBB Ri Innenstadt;984;;MQ 4.2 JBB Ri Neckarstadt;1110;
04.01.2023 15:00;MQ 4.1 JBB Ri Innenstadt;1237;;MQ 4.2 JBB Ri Neckarstadt;1111;
04.01.2023 16:00;MQ 4.1 JBB Ri Innenstadt;1215;;MQ 4.2 JBB Ri Neckarstadt;1204;
04.01.2023 17:00;MQ 4.1 JBB Ri Innenstadt;1274;;MQ 4.2 JBB Ri Neckarstadt;1303;
04.01.2023 18:00;MQ 4.1 JBB Ri Innenstadt;1007;;MQ 4.2 JBB Ri Neckarstadt;1145;
04.01.2023 19:00;MQ 4.1 JBB Ri Innenstadt;776;;MQ 4.2 JBB Ri Neckarstadt;807;
04.01.2023 20:00;MQ 4.1 JBB Ri Innenstadt;560;;MQ 4.2 JBB Ri Neckarstadt;602;
04.01.2023 21:00;MQ 4.1 JBB Ri Innenstadt;502;;MQ 4.2 JBB Ri Neckarstadt;560;
