Timestamp;Object_Id;Plausibilisiert 60min.Zählung Kfz[Fzg/h];dto_VehClass1Long.dto_VehClass1Long;.;dto_VehClass1Long.dto_VehClass1Long;dto_VehClass1Long.dto_VehClass1Long
11.09.2023 01:00;MQ 7.1 CSB Ri Neckarau;116;;MQ 7.2 CSB Ri Feudenheim;150;
11.09.2023 02:00;MQ 7.1 CSB Ri Neckarau;66;;MQ 7.2 CSB Ri Feudenheim;107;
11.09.2023 03:00;MQ 7.1 CSB Ri Neckarau;79;;MQ 7.2 CSB Ri Feudenheim;62;
11.09.2023 04:00;MQ 7.1 CSB Ri Neckarau;53;;MQ 7.2 CSB Ri Feudenheim;75;
11.09.2023 05:00;MQ 7.1 CSB Ri Neckarau;172;;MQ 7.2 CSB Ri Feudenheim;230;
11.09.2023 06:00;MQ 7.1 CSB Ri Neckarau;713;;MQ 7.2 CSB Ri Feudenheim;972;
11.09.2023 07:00;MQ 7.1 CSB Ri Neckarau;1.427,00;;MQ 7.2 CSB Ri Feudenheim;1.436,00;
11.09.2023 08:00;MQ 7.1 CSB Ri Neckarau;2.261,00;;MQ 7.2 CSB Ri Feudenheim;2.389,00;
11.09.2023 09:00;MQ 7.1 CSB Ri Neckarau;2.233,00;;MQ 7.2 CSB Ri Feudenheim;2.061,00;
11.09.2023 10:00;MQ 7.1 CSB Ri Neckarau;1.661,00;;MQ 7.2 CSB Ri Feudenheim;1.789,30;
11.09.2023 11:00;MQ 7.1 CSB Ri Neckarau;1.501,00;;MQ 7.2 CSB Ri Feudenheim;1.711,00;
11.09.2023 12:00;MQ 7.1 CSB Ri Neckarau;1.436,00;;MQ 7.2 CSB Ri Feudenheim;1.619,00;
11.09.2023 13:00;MQ 7.1 CSB Ri Neckarau;1.633,00;;MQ 7.2 CSB Ri Feudenheim;1.701,00;
11.09.2023 14:00;MQ 7.1 CSB Ri Neckarau;1.651,00;;MQ 7.2 CSB Ri Feudenheim;2.026,00;
11.09.2023 15:00;MQ 7.1 CSB Ri Neckarau;1.964,00;;MQ 7.2 CSB Ri Feudenheim;2.051,00;
11.09.2023 16:00;MQ 7.1 CSB Ri Neckarau;2.285,00;;MQ 7.2 CSB Ri Feudenheim;2.158,00;
11.09.2023 17:00;MQ 7.1 CSB Ri Neckarau;2.357,00;;MQ 7.2 CSB Ri Feudenheim;2.550,80;
11.09.2023 18:00;MQ 7.1 CSB Ri Neckarau;2.051,00;;MQ 7.2 CSB Ri Feudenheim;2.380,00;
11.09.2023 19:00;MQ 7.1 CSB Ri Neckarau;1.552,00;;MQ 7.2 CSB Ri Feudenheim;1.844,00;
11.09.2023 20:00;MQ 7.1 CSB Ri Neckarau;1.081,00;;MQ 7.2 CSB Ri Feudenheim;1.416,00;
