Timestamp;Object_Id;Plausibilisiert 60min.Zählung Kfz[Fzg/h];dto_VehClass1Long.dto_VehClass1Long;.;dto_VehClass1Long.dto_VehClass1Long;dto_VehClass1Long.dto_VehClass1Long
11.09.2023 01:00;MQ 2.2 KSB Ri LU;207;;MQ 2.1 KSB Ri MA;196;
11.09.2023 02:00;MQ 2.2 KSB Ri LU;155;;MQ 2.1 KSB Ri MA;108;
11.09.2023 03:00;MQ 2.2 KSB Ri LU;95;;MQ 2.1 KSB Ri MA;95;
11.09.2023 04:00;MQ 2.2 KSB Ri LU;50;;MQ 2.1 KSB Ri MA;91;
11.09.2023 05:00;MQ 2.2 KSB Ri LU;229;;MQ 2.1 KSB Ri MA;231;
11.09.2023 06:00;MQ 2.2 KSB Ri LU;697;;MQ 2.1 KSB Ri MA;1.192,00;
11.09.2023 07:00;MQ 2.2 KSB Ri LU;1.439,00;;MQ 2.1 KSB Ri MA;1.704,00;
11.09.2023 08:00;MQ 2.2 KSB Ri LU;1.865,00;;MQ 2.1 KSB Ri MA;1.730,00;
11.09.2023 09:00;MQ 2.2 KSB Ri LU;1.486,00;;MQ 2.1 KSB Ri MA;1.694,00;
11.09.2023 10:00;MQ 2.2 KSB Ri LU;1.174,80;;MQ 2.1 KSB Ri MA;1.355,70;
11.09.2023 11:00;MQ 2.2 KSB Ri LU;1.198,00;;MQ 2.1 KSB Ri MA;1.204,00;
11.09.2023 12:00;MQ 2.2 KSB Ri LU;1.300,00;;MQ 2.1 KSB Ri MA;1.179,00;
11.09.2023 13:00;MQ 2.2 KSB Ri LU;1.510,10;;MQ 2.1 KSB Ri MA;1.227,70;
11.09.2023 14:00;MQ 2.2 KSB Ri LU;1.718,00;;MQ 2.1 KSB Ri MA;1.397,00;
11.09.2023 15:00;MQ 2.2 KSB Ri LU;2.327,00;;MQ 2.1 KSB Ri MA;1.404,00;
11.09.2023 16:00;MQ 2.2 KSB Ri LU;2.585,00;;MQ 2.1 KSB Ri MA;1.539,00;
11.09.2023 17:00;MQ 2.2 KSB Ri LU;2.724,00;;MQ 2.1 KSB Ri MA;1.711,60;
11.09.2023 18:00;MQ 2.2 KSB Ri LU;2.446,60;;MQ 2.1 KSB Ri MA;1.489,50;
11.09.2023 19:00;MQ 2.2 KSB Ri LU;1.714,00;;MQ 2.1 KSB Ri MA;829;
11.09.2023 20:00;MQ 2.2 KSB Ri LU;1.338,00;;MQ 2.1 KSB Ri MA;1.027,00;
11.09.2023 21:00;MQ 2.2 KSB Ri LU;1.137,00;;MQ 2.1 KSB Ri MA;825;
11.09.2023 22:00;MQ 2.2 KSB Ri LU;806;;MQ 2.1 KSB Ri MA;445;
11.09.2023 23:00;MQ 2.2 KSB Ri LU;917;;MQ 2.1 KSB Ri MA;429;
11.09.2023 23:59;MQ 2.2 KSB Ri LU;444;;MQ 2.1 KSB Ri MA;303;
12.09.2023 01:00;MQ 2.2 KSB Ri LU;228;;MQ 2.1 KSB Ri MA;155;
12.09.2023 02:00;MQ 2.2 KSB Ri LU;136;;MQ 2.1 KSB Ri MA;93;
12.09.2023 03:00;MQ 2.2 KSB Ri LU;82;;MQ 2.1 KSB Ri MA;77;
12.09.2023 04:00;MQ 2.2 KSB Ri LU;87;;MQ 2.1 KSB Ri MA;73;
12.09.2023 05:00;MQ 2.2 KSB Ri LU;202;;MQ 2.1 KSB Ri MA;284;
12.09.2023 06:00;MQ 2.2 KSB Ri LU;702;;MQ 2.1 KSB Ri MA;1.206,00;
12.09.2023 07:00;MQ 2.2 KSB Ri LU;1.521,00;;MQ 2.1 KSB Ri MA;1.629,00;
12.09.2023 08:00;MQ 2.2 KSB Ri LU;1.928,00;;MQ 2.1 KSB Ri MA;1.899,00;
12.09.2023 09:00;MQ 2.2 KSB Ri LU;1.607,00;;MQ 2.1 KSB Ri MA;1.814,60;
12.09.2023 10:00;MQ 2.2 KSB Ri LU;1.129,00;;MQ 2.1 KSB Ri MA;1.392,00;
12.09.2023 11:00;MQ 2.2 KSB Ri LU;1.210,00;;MQ 2.1 KSB Ri MA;1.224,00;
12.09.2023 12:00;MQ 2.2 KSB Ri LU;1.286,00;;MQ 2.1 KSB Ri MA;1.170,00;
12.09.2023 13:00;MQ 2.2 KSB Ri LU;1.546,00;;MQ 2.1 KSB Ri MA;1.156,00;
