Timestamp;Object_Id;MQ 10.1;
04.01.2023 17:00;MQ 10.1 LÜf Ri Lindenhof;178;
04.01.2023 18:00;MQ 10.1 LÜf Ri Lindenhof;184;
04.01.2023 19:00;MQ 10.1 LÜf Ri Lindenhof;147;
04.01.2023 20:00;MQ 10.1 LÜf Ri Lindenhof;74;
04.01.2023 21:00;MQ 10.1 LÜf Ri Lindenhof;66;
04.01.2023 22:00;MQ 10.1 LÜf Ri Lindenhof;60;
04.01.2023 23:00;MQ 10.1 LÜf Ri Lindenhof;35;
04.01.2023 23:59;MQ 10.1 LÜf Ri Lindenhof;24;
05.01.2023 01:00;MQ 10.1 LÜf Ri Lindenhof;12;
05.01.2023 02:00;MQ 10.1 LÜf Ri Lindenhof;11;
05.01.2023 03:00;MQ 10.1 LÜf Ri Lindenhof;9;
05.01.2023 04:00;MQ 10.1 LÜf Ri Lindenhof;14;
05.01.2023 05:00;MQ 10.1 LÜf Ri Lindenhof;27;
05.01.2023 06:00;MQ 10.1 LÜf Ri Lindenhof;115;
05.01.2023 07:00;MQ 10.1 LÜf Ri Lindenhof;136;
05.01.2023 08:00;MQ 10.1 LÜf Ri Lindenhof;212;
05.01.2023 09:00;MQ 10.1 LÜf Ri Lindenhof;164;
05.01.2023 10:00;MQ 10.1 LÜf Ri Lindenhof;138;
05.01.2023 11:00;MQ 10.1 LÜf Ri Lindenhof;109;
05.01.2023 12:00;MQ 10.1 LÜf Ri Lindenhof;140;
05.01.2023 13:00;MQ 10.1 LÜf Ri Lindenhof;137;
05.01.2023 14:00;MQ 10.1 LÜf Ri Lindenhof;156;
05.01.2023 15:00;MQ 10.1 LÜf Ri Lindenhof;133;
05.01.2023 16:00;MQ 10.1 LÜf Ri Lindenhof;184;
05.01.2023 17:00;MQ 10.1 LÜf Ri Lindenhof;199;
05.01.2023 18:00;MQ 10.1 LÜf Ri Lindenhof;171;
05.01.2023 19:00;MQ 10.1 LÜf Ri Lindenhof;141;
05.01.2023 20:00;MQ 10.1 LÜf Ri Lindenhof;86;
05.01.2023 21:00;MQ 10.1 LÜf Ri Lindenhof;67;
05.01.2023 22:00;MQ 10.1 LÜf Ri Lindenhof;60;
05.01.2023 23:00;MQ 10.1 LÜf Ri Lindenhof;60;
05.01.2023 23:59;MQ 10.1 LÜf Ri Lindenhof;36;
06.01.2023 01:00;MQ 10.1 LÜf Ri Lindenhof;24;
06.01.2023 02:00;MQ 10.1 LÜf Ri Lindenhof;16;
06.01.2023 03:00;MQ 10.1 LÜf Ri Lindenhof;13;
06.01.2023 04:00;MQ 10.1 LÜf Ri Lindenhof;7;
06.01.2023 05:00;MQ 10.1 LÜf Ri Lindenhof;14;
06.01.2023 06:00;MQ 10.1 LÜf Ri Lindenhof;42;
06.01.2023 07:00;MQ 10.1 LÜf Ri Lindenhof;30;
06.01.2023 08:00;MQ 10.1 LÜf Ri Lindenhof;35;
06.01.2023 09:00;MQ 10.1 LÜf Ri Lindenhof;38;
06.01.2023 10:00;MQ 10.1 LÜf Ri Lindenhof;79;
06.01.2023 11:00;MQ 10.1 LÜf Ri Lindenhof;90;
06.01.2023 12:00;MQ 10.1 LÜf Ri Lindenhof;97;
06.01.2023 13:00;MQ 10.1 LÜf Ri Lindenhof;150;
06.01.2023 14:00;MQ 10.1 LÜf Ri Lindenhof;159;
06.01.2023 15:00;MQ 10.1 LÜf Ri Lindenhof;169;
06.01.2023 16:00;MQ 10.1 LÜf Ri Lindenhof;197;
06.01.2023 17:00;MQ 10.1 LÜf Ri Lindenhof;212;
06.01.2023 18:00;MQ 10.1 LÜf Ri Lindenhof;161;
06.01.2023 19:00;MQ 10.1 LÜf Ri Lindenhof;165;
06.01.2023 20:00;MQ 10.1 LÜf Ri Lindenhof;102;
06.01.2023 21:00;MQ 10.1 LÜf Ri Lindenhof;82;
06.01.2023 22:00;MQ 10.1 LÜf Ri Lindenhof;55;
06.01.2023 23:00;MQ 10.1 LÜf Ri Lindenhof;56;
06.01.2023 23:59;MQ 10.1 LÜf Ri Lindenhof;38;
07.01.2023 01:00;MQ 10.1 LÜf Ri Lindenhof;26;
07.01.2023 02:00;MQ 10.1 LÜf Ri Lindenhof;25;
07.01.2023 03:00;MQ 10.1 LÜf Ri Lindenhof;22;
07.01.2023 04:00;MQ 10.1 LÜf Ri Lindenhof;11;
07.01.2023 05:00;MQ 10.1 LÜf Ri Lindenhof;13;
07.01.2023 06:00;MQ 10.1 LÜf Ri Lindenhof;44;
07.01.2023 07:00;MQ 10.1 LÜf Ri Lindenhof;39;
07.01.2023 08:00;MQ 10.1 LÜf Ri Lindenhof;41;
07.01.2023 09:00;MQ 10.1 LÜf Ri Lindenhof;62;
07.01.2023 10:00;MQ 10.1 LÜf Ri Lindenhof;109;
07.01.2023 11:00;MQ 10.1 LÜf Ri Lindenhof;133;
07.01.2023 12:00;MQ 10.1 LÜf Ri Lindenhof;152;
07.01.2023 13:00;MQ 10.1 LÜf Ri Lindenhof;130;
07.01.2023 14:00;MQ 10.1 LÜf Ri Lindenhof;161;
07.01.2023 15:00;MQ 10.1 LÜf Ri Lindenhof;154;
07.01.2023 16:00;MQ 10.1 LÜf Ri Lindenhof;123;
07.01.2023 17:00;MQ 10.1 LÜf Ri Lindenhof;132;
07.01.2023 18:00;MQ 10.1 LÜf Ri Lindenhof;178;
07.01.2023 19:00;MQ 10.1 LÜf Ri Lindenhof;141;
07.01.2023 20:00;MQ 10.1 LÜf Ri Lindenhof;94;
07.01.2023 21:00;MQ 10.1 LÜf Ri Lindenhof;79;
07.01.2023 22:00;MQ 10.1 LÜf Ri Lindenhof;63;
07.01.2023 23:00;MQ 10.1 LÜf Ri Lindenhof;75;
07.01.2023 23:59;MQ 10.1 LÜf Ri Lindenhof;49;
08.01.2023 01:00;MQ 10.1 LÜf Ri Lindenhof;36;
08.01.2023 02:00;MQ 10.1 LÜf Ri Lindenhof;22;
08.01.2023 03:00;MQ 10.1 LÜf Ri Lindenhof;19;
08.01.2023 04:00;MQ 10.1 LÜf Ri Lindenhof;16;
08.01.2023 05:00;MQ 10.1 LÜf Ri Lindenhof;8;
08.01.2023 06:00;MQ 10.1 LÜf Ri Lindenhof;34;
08.01.2023 07:00;MQ 10.1 LÜf Ri Lindenhof;34;
08.01.2023 08:00;MQ 10.1 LÜf Ri Lindenhof;6;
08.01.2023 09:00;MQ 10.1 LÜf Ri Lindenhof;26;
08.01.2023 10:00;MQ 10.1 LÜf Ri Lindenhof;55;
08.01.2023 11:00;MQ 10.1 LÜf Ri Lindenhof;113;
08.01.2023 12:00;MQ 10.1 LÜf Ri Lindenhof;98;
08.01.2023 13:00;MQ 10.1 LÜf Ri Lindenhof;98;
08.01.2023 14:00;MQ 10.1 LÜf Ri Lindenhof;113;
08.01.2023 15:00;MQ 10.1 LÜf Ri Lindenhof;133;
08.01.2023 16:00;MQ 10.1 LÜf Ri Lindenhof;148;
08.01.2023 17:00;MQ 10.1 LÜf Ri Lindenhof;118;
08.01.2023 18:00;MQ 10.1 LÜf Ri Lindenhof;132;
08.01.2023 19:00;MQ 10.1 LÜf Ri Lindenhof;98;
08.01.2023 20:00;MQ 10.1 LÜf Ri Lindenhof;78;
08.01.2023 21:00;MQ 10.1 LÜf Ri Lindenhof;63;
08.01.2023 22:00;MQ 10.1 LÜf Ri Lindenhof;52;
08.01.2023 23:00;MQ 10.1 LÜf Ri Lindenhof;27;
08.01.2023 23:59;MQ 10.1 LÜf Ri Lindenhof;14;
09.01.2023 01:00;MQ 10.1 LÜf Ri Lindenhof;10;
09.01.2023 02:00;MQ 10.1 LÜf Ri Lindenhof;12;
09.01.2023 03:00;MQ 10.1 LÜf Ri Lindenhof;8;
09.01.2023 04:00;MQ 10.1 LÜf Ri Lindenhof;13;
09.01.2023 05:00;MQ 10.1 LÜf Ri Lindenhof;30;
09.01.2023 06:00;MQ 10.1 LÜf Ri Lindenhof;233;
09.01.2023 07:00;MQ 10.1 LÜf Ri Lindenhof;229;
09.01.2023 08:00;MQ 10.1 LÜf Ri Lindenhof;360;
09.01.2023 09:00;MQ 10.1 LÜf Ri Lindenhof;301;
09.01.2023 10:00;MQ 10.1 LÜf Ri Lindenhof;174;
09.01.2023 11:00;MQ 10.1 LÜf Ri Lindenhof;129;
09.01.2023 12:00;MQ 10.1 LÜf Ri Lindenhof;148;
09.01.2023 13:00;MQ 10.1 LÜf Ri Lindenhof;125;
09.01.2023 14:00;MQ 10.1 LÜf Ri Lindenhof;146;
09.01.2023 15:00;MQ 10.1 LÜf Ri Lindenhof;202;
09.01.2023 16:00;MQ 10.1 LÜf Ri Lindenhof;170;
09.01.2023 17:00;MQ 10.1 LÜf Ri Lindenhof;174;
09.01.2023 18:00;MQ 10.1 LÜf Ri Lindenhof;194;
09.01.2023 19:00;MQ 10.1 LÜf Ri Lindenhof;146;
09.01.2023 20:00;MQ 10.1 LÜf Ri Lindenhof;96;
09.01.2023 21:00;MQ 10.1 LÜf Ri Lindenhof;75;
09.01.2023 22:00;MQ 10.1 LÜf Ri Lindenhof;82;
09.01.2023 23:00;MQ 10.1 LÜf Ri Lindenhof;39;
09.01.2023 23:59;MQ 10.1 LÜf Ri Lindenhof;30;
10.01.2023 01:00;MQ 10.1 LÜf Ri Lindenhof;20;
10.01.2023 02:00;MQ 10.1 LÜf Ri Lindenhof;15;
10.01.2023 03:00;MQ 10.1 LÜf Ri Lindenhof;8;
10.01.2023 04:00;MQ 10.1 LÜf Ri Lindenhof;16;
10.01.2023 05:00;MQ 10.1 LÜf Ri Lindenhof;25;
10.01.2023 06:00;MQ 10.1 LÜf Ri Lindenhof;221;
10.01.2023 07:00;MQ 10.1 LÜf Ri Lindenhof;261;
10.01.2023 08:00;MQ 10.1 LÜf Ri Lindenhof;383;
10.01.2023 09:00;MQ 10.1 LÜf Ri Lindenhof;328;
10.01.2023 10:00;MQ 10.1 LÜf Ri Lindenhof;175;
10.01.2023 11:00;MQ 10.1 LÜf Ri Lindenhof;143;
10.01.2023 12:00;MQ 10.1 LÜf Ri Lindenhof;150;
10.01.2023 13:00;MQ 10.1 LÜf Ri Lindenhof;141;
10.01.2023 14:00;MQ 10.1 LÜf Ri Lindenhof;179;
10.01.2023 15:00;MQ 10.1 LÜf Ri Lindenhof;199;
10.01.2023 16:00;MQ 10.1 LÜf Ri Lindenhof;191;
10.01.2023 17:00;MQ 10.1 LÜf Ri Lindenhof;246;
10.01.2023 18:00;MQ 10.1 LÜf Ri Lindenhof;224;
10.01.2023 19:00;MQ 10.1 LÜf Ri Lindenhof;152;
10.01.2023 20:00;MQ 10.1 LÜf Ri Lindenhof;97;
10.01.2023 21:00;MQ 10.1 LÜf Ri Lindenhof;63;
10.01.2023 22:00;MQ 10.1 LÜf Ri Lindenhof;92;
10.01.2023 23:00;MQ 10.1 LÜf Ri Lindenhof;45;
10.01.2023 23:59;MQ 10.1 LÜf Ri Lindenhof;31;
11.01.2023 01:00;MQ 10.1 LÜf Ri Lindenhof;23;
11.01.2023 02:00;MQ 10.1 LÜf Ri Lindenhof;14;
11.01.2023 03:00;MQ 10.1 LÜf Ri Lindenhof;12;
11.01.2023 04:00;MQ 10.1 LÜf Ri Lindenhof;14;
11.01.2023 05:00;MQ 10.1 LÜf Ri Lindenhof;27;
11.01.2023 06:00;MQ 10.1 LÜf Ri Lindenhof;202;
11.01.2023 07:00;MQ 10.1 LÜf Ri Lindenhof;241;
11.01.2023 08:00;MQ 10.1 LÜf Ri Lindenhof;398;
11.01.2023 09:00;MQ 10.1 LÜf Ri Lindenhof;483;
11.01.2023 10:00;MQ 10.1 LÜf Ri Lindenhof;402;
11.01.2023 11:00;MQ 10.1 LÜf Ri Lindenhof;143;
11.01.2023 12:00;MQ 10.1 LÜf Ri Lindenhof;161;
11.01.2023 13:00;MQ 10.1 LÜf Ri Lindenhof;149;
11.01.2023 14:00;MQ 10.1 LÜf Ri Lindenhof;170;
11.01.2023 15:00;MQ 10.1 LÜf Ri Lindenhof;209;
11.01.2023 16:00;MQ 10.1 LÜf Ri Lindenhof;182;
11.01.2023 17:00;MQ 10.1 LÜf Ri Lindenhof;210;
11.01.2023 18:00;MQ 10.1 LÜf Ri Lindenhof;228;
11.01.2023 19:00;MQ 10.1 LÜf Ri Lindenhof;182;
11.01.2023 20:00;MQ 10.1 LÜf Ri Lindenhof;94;
11.01.2023 21:00;MQ 10.1 LÜf Ri Lindenhof;82;
11.01.2023 22:00;MQ 10.1 LÜf Ri Lindenhof;75;
11.01.2023 23:00;MQ 10.1 LÜf Ri Lindenhof;50;
11.01.2023 23:59;MQ 10.1 LÜf Ri Lindenhof;35;
12.01.2023 01:00;MQ 10.1 LÜf Ri Lindenhof;20;
12.01.2023 02:00;MQ 10.1 LÜf Ri Lindenhof;15;
12.01.2023 03:00;MQ 10.1 LÜf Ri Lindenhof;16;
12.01.2023 04:00;MQ 10.1 LÜf Ri Lindenhof;10;
12.01.2023 05:00;MQ 10.1 LÜf Ri Lindenhof;25;
12.01.2023 06:00;MQ 10.1 LÜf Ri Lindenhof;203;
12.01.2023 07:00;MQ 10.1 LÜf Ri Lindenhof;229;
12.01.2023 08:00;MQ 10.1 LÜf Ri Lindenhof;369;
12.01.2023 09:00;MQ 10.1 LÜf Ri Lindenhof;352;
12.01.2023 10:00;MQ 10.1 LÜf Ri Lindenhof;170;
12.01.2023 11:00;MQ 10.1 LÜf Ri Lindenhof;130;
12.01.2023 12:00;MQ 10.1 LÜf Ri Lindenhof;141;
12.01.2023 13:00;MQ 10.1 LÜf Ri Lindenhof;174;
12.01.2023 14:00;MQ 10.1 LÜf Ri Lindenhof;180;
12.01.2023 15:00;MQ 10.1 LÜf Ri Lindenhof;196;
12.01.2023 16:00;MQ 10.1 LÜf Ri Lindenhof;191;
12.01.2023 17:00;MQ 10.1 LÜf Ri Lindenhof;217;
12.01.2023 18:00;MQ 10.1 LÜf Ri Lindenhof;207;
12.01.2023 19:00;MQ 10.1 LÜf Ri Lindenhof;154;
12.01.2023 20:00;MQ 10.1 LÜf Ri Lindenhof;109;
12.01.2023 21:00;MQ 10.1 LÜf Ri Lindenhof;79;
12.01.2023 22:00;MQ 10.1 LÜf Ri Lindenhof;79;
12.01.2023 23:00;MQ 10.1 LÜf Ri Lindenhof;52;
12.01.2023 23:59;MQ 10.1 LÜf Ri Lindenhof;43;
13.01.2023 01:00;MQ 10.1 LÜf Ri Lindenhof;18;
13.01.2023 02:00;MQ 10.1 LÜf Ri Lindenhof;15;
13.01.2023 03:00;MQ 10.1 LÜf Ri Lindenhof;13;
13.01.2023 04:00;MQ 10.1 LÜf Ri Lindenhof;10;
13.01.2023 05:00;MQ 10.1 LÜf Ri Lindenhof;33;
13.01.2023 06:00;MQ 10.1 LÜf Ri Lindenhof;218;
13.01.2023 07:00;MQ 10.1 LÜf Ri Lindenhof;212;
13.01.2023 08:00;MQ 10.1 LÜf Ri Lindenhof;316;
13.01.2023 09:00;MQ 10.1 LÜf Ri Lindenhof;209;
13.01.2023 10:00;MQ 10.1 LÜf Ri Lindenhof;168;
13.01.2023 11:00;MQ 10.1 LÜf Ri Lindenhof;150;
13.01.2023 12:00;MQ 10.1 LÜf Ri Lindenhof;133;
13.01.2023 13:00;MQ 10.1 LÜf Ri Lindenhof;145;
13.01.2023 14:00;MQ 10.1 LÜf Ri Lindenhof;189;
13.01.2023 15:00;MQ 10.1 LÜf Ri Lindenhof;240;
13.01.2023 16:00;MQ 10.1 LÜf Ri Lindenhof;254;
13.01.2023 17:00;MQ 10.1 LÜf Ri Lindenhof;395;
13.01.2023 18:00;MQ 10.1 LÜf Ri Lindenhof;422;
13.01.2023 19:00;MQ 10.1 LÜf Ri Lindenhof;170;
13.01.2023 20:00;MQ 10.1 LÜf Ri Lindenhof;107;
13.01.2023 21:00;MQ 10.1 LÜf Ri Lindenhof;92;
13.01.2023 22:00;MQ 10.1 LÜf Ri Lindenhof;83;
13.01.2023 23:00;MQ 10.1 LÜf Ri Lindenhof;73;
13.01.2023 23:59;MQ 10.1 LÜf Ri Lindenhof;48;
14.01.2023 01:00;MQ 10.1 LÜf Ri Lindenhof;40;
14.01.2023 02:00;MQ 10.1 LÜf Ri Lindenhof;24;
14.01.2023 03:00;MQ 10.1 LÜf Ri Lindenhof;15;
14.01.2023 04:00;MQ 10.1 LÜf Ri Lindenhof;10;
14.01.2023 05:00;MQ 10.1 LÜf Ri Lindenhof;9;
14.01.2023 06:00;MQ 10.1 LÜf Ri Lindenhof;52;
14.01.2023 07:00;MQ 10.1 LÜf Ri Lindenhof;50;
14.01.2023 08:00;MQ 10.1 LÜf Ri Lindenhof;48;
14.01.2023 09:00;MQ 10.1 LÜf Ri Lindenhof;81;
14.01.2023 10:00;MQ 10.1 LÜf Ri Lindenhof;124;
14.01.2023 11:00;MQ 10.1 LÜf Ri Lindenhof;132;
14.01.2023 12:00;MQ 10.1 LÜf Ri Lindenhof;160;
14.01.2023 13:00;MQ 10.1 LÜf Ri Lindenhof;139;
14.01.2023 14:00;MQ 10.1 LÜf Ri Lindenhof;193;
14.01.2023 15:00;MQ 10.1 LÜf Ri Lindenhof;181;
14.01.2023 16:00;MQ 10.1 LÜf Ri Lindenhof;175;
14.01.2023 17:00;MQ 10.1 LÜf Ri Lindenhof;139;
14.01.2023 18:00;MQ 10.1 LÜf Ri Lindenhof;154;
14.01.2023 19:00;MQ 10.1 LÜf Ri Lindenhof;156;
14.01.2023 20:00;MQ 10.1 LÜf Ri Lindenhof;113;
14.01.2023 21:00;MQ 10.1 LÜf Ri Lindenhof;81;
14.01.2023 22:00;MQ 10.1 LÜf Ri Lindenhof;58;
14.01.2023 23:00;MQ 10.1 LÜf Ri Lindenhof;81;
14.01.2023 23:59;MQ 10.1 LÜf Ri Lindenhof;49;
15.01.2023 01:00;MQ 10.1 LÜf Ri Lindenhof;37;
15.01.2023 02:00;MQ 10.1 LÜf Ri Lindenhof;19;
15.01.2023 03:00;MQ 10.1 LÜf Ri Lindenhof;25;
15.01.2023 04:00;MQ 10.1 LÜf Ri Lindenhof;19;
15.01.2023 05:00;MQ 10.1 LÜf Ri Lindenhof;12;
15.01.2023 06:00;MQ 10.1 LÜf Ri Lindenhof;37;
15.01.2023 07:00;MQ 10.1 LÜf Ri Lindenhof;28;
15.01.2023 08:00;MQ 10.1 LÜf Ri Lindenhof;12;
15.01.2023 09:00;MQ 10.1 LÜf Ri Lindenhof;24;
15.01.2023 10:00;MQ 10.1 LÜf Ri Lindenhof;65;
15.01.2023 11:00;MQ 10.1 LÜf Ri Lindenhof;71;
15.01.2023 12:00;MQ 10.1 LÜf Ri Lindenhof;102;
15.01.2023 13:00;MQ 10.1 LÜf Ri Lindenhof;111;
15.01.2023 14:00;MQ 10.1 LÜf Ri Lindenhof;107;
15.01.2023 15:00;MQ 10.1 LÜf Ri Lindenhof;135;
15.01.2023 16:00;MQ 10.1 LÜf Ri Lindenhof;124;
15.01.2023 17:00;MQ 10.1 LÜf Ri Lindenhof;121;
15.01.2023 18:00;MQ 10.1 LÜf Ri Lindenhof;125;
15.01.2023 19:00;MQ 10.1 LÜf Ri Lindenhof;111;
15.01.2023 20:00;MQ 10.1 LÜf Ri Lindenhof;93;
15.01.2023 21:00;MQ 10.1 LÜf Ri Lindenhof;59;
15.01.2023 22:00;MQ 10.1 LÜf Ri Lindenhof;56;
15.01.2023 23:00;MQ 10.1 LÜf Ri Lindenhof;34;
15.01.2023 23:59;MQ 10.1 LÜf Ri Lindenhof;20;
16.01.2023 01:00;MQ 10.1 LÜf Ri Lindenhof;10;
16.01.2023 02:00;MQ 10.1 LÜf Ri Lindenhof;13;
16.01.2023 03:00;MQ 10.1 LÜf Ri Lindenhof;10;
16.01.2023 04:00;MQ 10.1 LÜf Ri Lindenhof;14;
16.01.2023 05:00;MQ 10.1 LÜf Ri Lindenhof;46;
16.01.2023 06:00;MQ 10.1 LÜf Ri Lindenhof;210;
16.01.2023 07:00;MQ 10.1 LÜf Ri Lindenhof;261;
16.01.2023 08:00;MQ 10.1 LÜf Ri Lindenhof;389;
16.01.2023 09:00;MQ 10.1 LÜf Ri Lindenhof;573;
16.01.2023 10:00;MQ 10.1 LÜf Ri Lindenhof;365;
16.01.2023 11:00;MQ 10.1 LÜf Ri Lindenhof;129;
16.01.2023 12:00;MQ 10.1 LÜf Ri Lindenhof;123;
16.01.2023 13:00;MQ 10.1 LÜf Ri Lindenhof;135;
16.01.2023 14:00;MQ 10.1 LÜf Ri Lindenhof;161;
16.01.2023 15:00;MQ 10.1 LÜf Ri Lindenhof;207;
16.01.2023 16:00;MQ 10.1 LÜf Ri Lindenhof;199;
16.01.2023 17:00;MQ 10.1 LÜf Ri Lindenhof;233;
16.01.2023 18:00;MQ 10.1 LÜf Ri Lindenhof;253;
16.01.2023 19:00;MQ 10.1 LÜf Ri Lindenhof;169;
16.01.2023 20:00;MQ 10.1 LÜf Ri Lindenhof;106;
16.01.2023 21:00;MQ 10.1 LÜf Ri Lindenhof;71;
16.01.2023 22:00;MQ 10.1 LÜf Ri Lindenhof;74;
16.01.2023 23:00;MQ 10.1 LÜf Ri Lindenhof;34;
16.01.2023 23:59;MQ 10.1 LÜf Ri Lindenhof;26;
17.01.2023 01:00;MQ 10.1 LÜf Ri Lindenhof;11;
17.01.2023 02:00;MQ 10.1 LÜf Ri Lindenhof;12;
17.01.2023 03:00;MQ 10.1 LÜf Ri Lindenhof;10;
