Timestamp;Object_Id;MQ 5.1;Object_Id_1;MQ 5.2;
03.01.2023 06:00;MQ 5.1 KPB Ri Innenstadt;199;MQ 5.2 KPB Ri Neckarstadt;182;
03.01.2023 07:00;MQ 5.1 KPB Ri Innenstadt;314;MQ 5.2 KPB Ri Neckarstadt;266;
03.01.2023 08:00;MQ 5.1 KPB Ri Innenstadt;414;MQ 5.2 KPB Ri Neckarstadt;367;
03.01.2023 09:00;MQ 5.1 KPB Ri Innenstadt;435;MQ 5.2 KPB Ri Neckarstadt;418;
03.01.2023 10:00;MQ 5.1 KPB Ri Innenstadt;436;MQ 5.2 KPB Ri Neckarstadt;464;
03.01.2023 11:00;MQ 5.1 KPB Ri Innenstadt;519;MQ 5.2 KPB Ri Neckarstadt;499;
03.01.2023 12:00;MQ 5.1 KPB Ri Innenstadt;498;MQ 5.2 KPB Ri Neckarstadt;577;
03.01.2023 13:00;MQ 5.1 KPB Ri Innenstadt;471;MQ 5.2 KPB Ri Neckarstadt;592;
03.01.2023 14:00;MQ 5.1 KPB Ri Innenstadt;579;MQ 5.2 KPB Ri Neckarstadt;648;
03.01.2023 15:00;MQ 5.1 KPB Ri Innenstadt;596;MQ 5.2 KPB Ri Neckarstadt;690;
03.01.2023 16:00;MQ 5.1 KPB Ri Innenstadt;623;MQ 5.2 KPB Ri Neckarstadt;735;
03.01.2023 17:00;MQ 5.1 KPB Ri Innenstadt;641;MQ 5.2 KPB Ri Neckarstadt;775;
03.01.2023 18:00;MQ 5.1 KPB Ri Innenstadt;583;MQ 5.2 KPB Ri Neckarstadt;770;
03.01.2023 19:00;MQ 5.1 KPB Ri Innenstadt;464;MQ 5.2 KPB Ri Neckarstadt;635;
03.01.2023 20:00;MQ 5.1 KPB Ri Innenstadt;382;MQ 5.2 KPB Ri Neckarstadt;639;
03.01.2023 21:00;MQ 5.1 KPB Ri Innenstadt;312;MQ 5.2 KPB Ri Neckarstadt;679;
03.01.2023 22:00;MQ 5.1 KPB Ri Innenstadt;281;MQ 5.2 KPB Ri Neckarstadt;383;
03.01.2023 23:00;MQ 5.1 KPB Ri Innenstadt;323;MQ 5.2 KPB Ri Neckarstadt;305;
03.01.2023 23:59;MQ 5.1 KPB Ri Innenstadt;142;MQ 5.2 KPB Ri Neckarstadt;215;
04.01.2023 01:00;MQ 5.1 KPB Ri Innenstadt;89;MQ 5.2 KPB Ri Neckarstadt;101;
04.01.2023 02:00;MQ 5.1 KPB Ri Innenstadt;58;MQ 5.2 KPB Ri Neckarstadt;88;
