timestamp,SC1,SC2,SC3,SC4,SC5,RC1,RC2,RC3,RC4,RC5,Bikes
2023-11-20 07:40:00,6,89,0,38,0,1,45,0,4,0,16
2023-11-20 07:30:00,6,89,0,38,0,1,45,0,4,0,16
2023-11-20 06:30:00,1,48,0,12,0,0,26,0,1,2,0
2023-11-20 06:20:00,0,29,0,18,0,0,10,0,1,0,5
2023-11-20 06:10:00,1,22,1,14,1,0,24,0,4,0,6
2023-11-20 05:50:00,0,27,0,16,0,0,25,0,2,0,3
2023-11-20 04:40:00,0,2,0,0,0,0,1,0,0,0,0
2023-11-20 04:30:00,0,7,0,3,0,0,3,0,0,0,2
2023-11-20 04:20:00,0,8,0,3,0,0,5,0,2,0,1
2023-11-20 04:10:00,0,1,0,3,0,0,1,0,0,0,0
2023-11-20 03:00:00,0,2,0,2,1,0,1,0,1,0,0
2023-11-20 02:40:00,0,2,0,3,0,0,1,0,0,0,0
2023-11-20 02:30:00,1,5,0,0,0,0,2,0,1,0,1
2023-11-20 02:20:00,0,3,0,0,0,0,2,0,0,0,1
2023-11-20 01:20:00,0,2,0,3,0,0,1,0,0,0,0
2023-11-20 01:10:00,0,3,0,1,0,0,1,0,0,0,1
2023-11-20 01:00:00,0,3,0,1,0,0,3,0,0,0,2
2023-11-20 00:50:00,0,3,0,0,0,0,5,0,0,0,2
