timestamp,SC1,SC2,SC3,SC4,SC5,Bikes
2024-03-26 02:50:00,0,2,0,2,0,1
2024-03-26 02:40:00,1,3,0,2,0,3
2024-03-26 02:30:00,0,6,0,3,0,1
2024-03-26 02:20:00,0,3,0,1,0,0
2024-03-26 02:10:00,0,3,0,2,0,3
2024-03-26 02:00:00,1,0,0,2,0,1
2024-03-26 01:50:00,0,2,0,2,0,2
2024-03-26 01:40:00,0,4,0,3,0,1
2024-03-26 01:30:00,0,6,0,2,0,2
2024-03-26 01:20:00,0,7,0,0,0,3
2024-03-26 01:10:00,0,3,0,2,0,2
2024-03-26 01:00:00,1,5,0,2,0,4
2024-03-26 00:50:00,0,10,0,2,0,4
2024-03-26 00:40:00,1,8,0,3,0,0
2024-03-26 00:30:00,0,6,0,8,0,2
2024-03-26 00:20:00,0,7,0,4,0,8
2024-03-26 00:10:00,0,4,0,7,0,3
2024-03-26 00:00:00,0,5,0,7,0,6
