,PKW (S),Transporter (S),Fahrräder,Transporter (R),Kleintransporter (R),Kleintransporter (S),Motorrad (R),LKW (R),Motorrad (S),PKW (R),LKW (S)
2022-12-31 23:10:00+00:00,10,6,1,0,0,1,0,0,1,8,1
2022-12-31 23:20:00+00:00,7,3,1,1,0,0,0,0,0,1,1
2022-12-31 23:30:00+00:00,10,2,0,0,0,0,1,0,0,3,0
2022-12-31 23:40:00+00:00,10,8,3,0,0,0,0,0,0,3,2
2022-12-31 23:50:00+00:00,23,4,3,0,0,0,0,0,0,9,0
2023-01-01 00:00:00+00:00,19,9,2,1,0,0,0,0,0,13,1
2023-01-01 00:10:00+00:00,16,12,1,0,0,0,0,0,0,9,1
2023-01-01 00:20:00+00:00,24,10,2,0,0,0,0,0,1,11,3
2023-01-01 00:30:00+00:00,26,9,1,0,0,0,0,0,0,18,2
2023-01-01 00:40:00+00:00,26,14,1,0,0,0,0,0,1,16,0
2023-01-01 00:50:00+00:00,26,9,3,0,0,0,0,0,1,13,1
2023-01-01 01:00:00+00:00,33,10,3,1,0,0,0,0,1,16,0
2023-01-01 01:10:00+00:00,17,14,3,0,0,0,0,0,0,20,1
2023-01-01 01:20:00+00:00,18,12,3,0,0,0,0,0,0,13,0
2023-01-01 01:30:00+00:00,24,11,1,2,0,1,0,0,0,16,0
2023-01-01 01:40:00+00:00,30,9,10,2,0,0,0,0,0,13,0
2023-01-01 01:50:00+00:00,16,13,1,0,0,1,0,0,0,8,1
2023-01-01 02:00:00+00:00,18,6,3,0,0,0,0,0,0,12,0
2023-01-01 02:10:00+00:00,16,6,2,0,0,1,0,0,0,11,1
2023-01-01 02:20:00+00:00,13,7,2,2,0,1,0,0,0,13,0
2023-01-01 02:30:00+00:00,8,5,3,0,0,1,0,0,1,9,2
2023-01-01 02:40:00+00:00,12,3,4,1,0,0,0,0,2,9,0
2023-01-01 02:50:00+00:00,13,7,2,0,0,0,0,0,1,5,0
2023-01-01 03:00:00+00:00,9,1,0,0,0,1,0,0,0,5,1
2023-01-01 03:10:00+00:00,9,3,0,0,0,0,0,0,0,8,1
2023-01-01 03:20:00+00:00,12,6,2,1,0,0,0,0,1,10,0
2023-01-01 03:30:00+00:00,12,7,2,0,0,0,0,0,0,12,0
2023-01-01 03:40:00+00:00,7,5,2,0,0,0,0,0,0,8,0
2023-01-01 03:50:00+00:00,16,4,2,0,0,1,0,0,0,4,0
2023-01-01 04:00:00+00:00,11,3,3,0,0,2,0,0,0,9,0
2023-01-01 04:10:00+00:00,6,7,1,0,0,0,0,0,0,6,0
2023-01-01 04:20:00+00:00,8,10,0,0,0,0,0,0,0,9,0
2023-01-01 04:30:00+00:00,8,2,2,0,0,0,0,0,0,3,0
2023-01-01 04:40:00+00:00,9,7,1,0,0,0,0,0,0,7,0
2023-01-01 04:50:00+00:00,13,7,1,0,0,0,0,0,0,8,0
2023-01-01 05:00:00+00:00,12,5,0,0,0,0,0,0,0,13,0
2023-01-01 05:10:00+00:00,5,6,6,1,0,0,0,0,0,4,2
2023-01-01 05:20:00+00:00,9,3,1,0,0,0,0,0,0,10,2
2023-01-01 05:30:00+00:00,7,5,1,0,0,2,0,0,0,8,0
2023-01-01 05:40:00+00:00,7,3,1,0,0,1,0,0,2,6,1
2023-01-01 05:50:00+00:00,3,1,2,1,0,0,0,0,0,6,0
2023-01-01 06:00:00+00:00,3,3,0,0,0,0,0,0,0,8,1
2023-01-01 06:10:00+00:00,5,2,0,1,0,1,0,0,0,3,0
2023-01-01 06:20:00+00:00,9,7,0,1,0,0,0,0,0,4,0
2023-01-01 06:30:00+00:00,11,5,1,1,0,1,0,0,0,4,1
2023-01-01 06:40:00+00:00,7,3,1,2,0,0,0,0,0,2,0
2023-01-01 06:50:00+00:00,3,0,1,1,0,0,0,0,0,2,0
2023-01-01 07:00:00+00:00,6,3,1,0,0,1,0,0,0,1,0
2023-01-01 07:10:00+00:00,5,3,1,0,0,3,0,0,0,4,4
2023-01-01 07:20:00+00:00,5,3,1,0,0,0,0,0,0,4,0
2023-01-01 07:30:00+00:00,4,2,1,0,0,2,0,0,0,2,1
2023-01-01 07:40:00+00:00,5,0,2,0,0,1,0,0,0,4,1
2023-01-01 07:50:00+00:00,2,3,1,1,0,0,0,0,0,1,0
2023-01-01 08:00:00+00:00,8,3,0,1,0,0,0,0,0,6,2
2023-01-01 08:10:00+00:00,7,2,1,0,0,0,0,0,0,5,0
2023-01-01 08:20:00+00:00,9,0,0,0,0,0,0,0,0,5,0
2023-01-01 08:30:00+00:00,10,2,0,0,0,0,0,0,0,8,0
2023-01-01 08:40:00+00:00,5,3,1,1,0,0,0,0,0,10,0
2023-01-01 08:50:00+00:00,7,3,1,0,0,0,0,0,0,5,0
2023-01-01 09:00:00+00:00,14,7,1,1,0,0,0,0,0,10,0
2023-01-01 09:10:00+00:00,19,4,1,0,0,0,0,0,0,4,0
2023-01-01 09:20:00+00:00,17,4,0,0,0,0,0,0,1,4,0
2023-01-01 09:30:00+00:00,22,5,1,0,0,0,0,0,0,10,1
2023-01-01 09:40:00+00:00,26,4,4,2,0,0,0,0,0,7,0
2023-01-01 09:50:00+00:00,24,6,2,0,0,1,0,0,3,15,1
2023-01-01 10:00:00+00:00,20,3,0,0,0,0,0,0,0,13,0
2023-01-01 10:10:00+00:00,31,5,3,0,0,2,0,0,0,9,5
2023-01-01 10:20:00+00:00,26,5,3,0,0,0,0,0,0,18,0
2023-01-01 10:30:00+00:00,24,10,2,0,0,0,0,0,0,13,0
2023-01-01 10:40:00+00:00,35,4,1,0,0,0,0,0,0,14,0
2023-01-01 10:50:00+00:00,39,8,3,0,0,0,0,0,0,15,1
2023-01-01 11:00:00+00:00,30,9,2,0,0,0,0,1,1,15,0
2023-01-01 11:10:00+00:00,26,9,4,0,0,0,0,0,0,18,0
2023-01-01 11:20:00+00:00,31,5,1,2,0,0,0,0,0,18,0
2023-01-01 11:30:00+00:00,36,8,7,1,0,0,0,1,0,21,1
2023-01-01 11:40:00+00:00,31,5,5,0,0,0,0,0,2,15,1
2023-01-01 11:50:00+00:00,42,7,2,1,0,0,0,0,0,17,0
2023-01-01 12:00:00+00:00,41,12,0,0,0,0,0,0,1,16,1
2023-01-01 12:10:00+00:00,51,4,2,2,0,0,0,0,0,22,2
2023-01-01 12:20:00+00:00,44,12,3,1,0,0,0,0,1,14,0
2023-01-01 12:30:00+00:00,40,12,2,1,0,0,0,0,1,13,0
2023-01-01 12:40:00+00:00,33,9,4,2,0,0,0,0,0,19,0
2023-01-01 12:50:00+00:00,28,10,7,0,0,0,0,0,1,13,0
2023-01-01 13:00:00+00:00,47,12,3,0,0,0,0,0,1,23,4
2023-01-01 13:10:00+00:00,38,11,3,1,0,0,0,0,1,15,1
2023-01-01 13:20:00+00:00,40,13,1,1,0,0,0,0,0,23,0
2023-01-01 13:30:00+00:00,56,8,3,1,0,0,0,0,0,16,0
2023-01-01 13:40:00+00:00,30,12,4,0,0,1,0,0,2,19,0
2023-01-01 13:50:00+00:00,39,12,3,0,0,0,0,0,2,16,0
2023-01-01 14:00:00+00:00,35,16,4,0,0,0,0,0,0,13,2
2023-01-01 14:10:00+00:00,50,9,0,0,0,0,0,0,0,18,2
2023-01-01 14:20:00+00:00,54,11,3,1,0,0,0,0,1,16,1
2023-01-01 14:30:00+00:00,50,16,4,2,0,0,0,0,1,20,1
2023-01-01 14:40:00+00:00,57,9,4,0,0,2,0,0,2,19,0
2023-01-01 14:50:00+00:00,39,14,2,2,0,0,0,0,0,13,1
2023-01-01 15:00:00+00:00,67,14,2,0,0,0,0,0,3,17,0
2023-01-01 15:10:00+00:00,44,10,7,2,0,0,0,0,0,18,1
2023-01-01 15:20:00+00:00,47,12,7,1,0,0,0,0,0,20,0
2023-01-01 15:30:00+00:00,56,14,4,4,0,0,0,1,1,26,0
2023-01-01 15:40:00+00:00,40,20,5,0,0,0,0,0,0,20,0
2023-01-01 15:50:00+00:00,48,18,1,1,0,0,0,0,0,22,0
2023-01-01 16:00:00+00:00,38,17,7,0,0,4,0,0,0,21,1
2023-01-01 16:10:00+00:00,38,17,2,2,0,0,0,0,4,16,0
2023-01-01 16:20:00+00:00,42,14,4,1,0,0,0,0,0,20,0
2023-01-01 16:30:00+00:00,53,13,1,0,0,0,0,0,1,30,0
2023-01-01 16:40:00+00:00,62,9,1,1,0,0,0,4,0,28,0
2023-01-01 16:50:00+00:00,47,9,2,1,0,1,0,0,0,19,1
2023-01-01 17:00:00+00:00,42,16,3,0,0,0,0,0,1,23,0
2023-01-01 17:10:00+00:00,38,10,4,0,0,0,0,0,0,20,0
2023-01-01 17:20:00+00:00,38,15,4,0,0,1,0,0,1,18,1
2023-01-01 17:30:00+00:00,40,16,2,1,0,0,0,0,2,20,0
2023-01-01 17:40:00+00:00,40,15,1,0,0,0,0,0,0,17,2
2023-01-01 17:50:00+00:00,36,12,2,1,0,1,0,3,1,13,2
2023-01-01 18:00:00+00:00,49,11,4,1,0,0,0,0,0,16,0
2023-01-01 18:10:00+00:00,22,7,4,1,0,0,0,1,0,16,0
2023-01-01 18:20:00+00:00,41,12,3,1,0,0,0,0,0,19,0
2023-01-01 18:30:00+00:00,34,11,3,2,0,0,0,0,0,18,0
2023-01-01 18:40:00+00:00,29,3,1,0,0,0,0,0,1,23,0
2023-01-01 18:50:00+00:00,29,11,1,0,0,1,0,0,1,17,1
2023-01-01 19:00:00+00:00,28,7,0,1,0,0,0,0,0,18,0
2023-01-01 19:10:00+00:00,28,11,5,2,0,0,0,0,0,17,0
2023-01-01 19:20:00+00:00,31,8,2,2,0,2,0,0,1,19,0
2023-01-01 19:30:00+00:00,25,10,5,0,0,0,0,0,1,16,0
2023-01-01 19:40:00+00:00,27,10,2,0,0,0,0,0,0,12,0
2023-01-01 19:50:00+00:00,24,12,3,0,0,0,0,0,0,12,0
2023-01-01 20:00:00+00:00,19,15,0,0,0,0,0,0,0,16,0
2023-01-01 20:10:00+00:00,29,5,2,0,0,0,0,0,0,9,0
2023-01-01 20:20:00+00:00,21,11,5,0,0,1,0,0,1,12,1
2023-01-01 20:30:00+00:00,18,11,1,0,0,0,0,0,0,16,0
2023-01-01 20:40:00+00:00,21,8,2,1,0,0,0,0,0,12,0
2023-01-01 20:50:00+00:00,22,6,3,0,0,0,0,0,0,12,0
2023-01-01 21:00:00+00:00,21,5,2,1,0,0,0,0,0,13,0
2023-01-01 21:10:00+00:00,15,4,2,0,0,0,0,0,1,18,0
2023-01-01 21:20:00+00:00,13,4,1,1,0,0,0,0,0,7,0
2023-01-01 21:30:00+00:00,19,8,0,1,0,0,0,0,0,10,0
2023-01-01 21:40:00+00:00,12,2,5,0,0,0,0,0,0,6,0
2023-01-01 21:50:00+00:00,13,3,4,0,0,0,0,0,0,8,0
2023-01-01 22:00:00+00:00,11,8,2,1,0,0,0,0,1,6,0
2023-01-01 22:10:00+00:00,11,4,1,0,0,0,0,0,0,5,0
2023-01-01 22:20:00+00:00,7,3,2,1,0,0,0,0,0,9,0
2023-01-01 22:30:00+00:00,13,3,0,0,0,0,0,0,0,9,0
2023-01-01 22:40:00+00:00,16,2,1,0,0,0,0,0,0,7,1
2023-01-01 22:50:00+00:00,11,1,0,0,0,0,0,0,0,3,0
2023-01-01 23:00:00+00:00,8,2,0,0,0,0,0,0,0,8,0
2023-01-01 23:10:00+00:00,7,2,0,0,0,0,0,0,0,3,0
2023-01-01 23:20:00+00:00,9,2,0,1,0,0,0,0,0,1,0
2023-01-01 23:30:00+00:00,6,2,1,0,0,0,1,0,0,7,0
2023-01-01 23:40:00+00:00,7,3,0,1,0,0,0,0,0,3,0
2023-01-01 23:50:00+00:00,3,2,0,0,0,0,0,0,0,3,0
2023-01-02 00:00:00+00:00,8,1,0,0,0,0,0,0,0,6,0
2023-01-02 00:10:00+00:00,4,1,1,1,0,0,0,0,0,4,0
2023-01-02 00:20:00+00:00,2,0,0,0,0,0,0,0,0,3,0
2023-01-02 00:30:00+00:00,2,3,0,0,0,0,0,0,0,4,0
2023-01-02 00:40:00+00:00,4,3,0,0,0,0,0,0,0,2,0
2023-01-02 00:50:00+00:00,7,0,0,0,0,0,0,0,0,1,0
2023-01-02 01:00:00+00:00,5,0,1,2,0,0,0,0,0,3,0
2023-01-02 01:10:00+00:00,2,1,1,1,0,0,0,0,0,1,0
2023-01-02 01:20:00+00:00,5,1,1,0,0,0,0,0,0,4,0
2023-01-02 01:30:00+00:00,2,0,0,0,0,0,0,0,0,2,0
2023-01-02 01:40:00+00:00,7,0,0,0,0,0,0,0,0,1,0
2023-01-02 01:50:00+00:00,1,0,1,0,0,0,0,0,0,2,0
2023-01-02 02:00:00+00:00,3,3,0,0,0,0,1,0,0,0,0
2023-01-02 02:10:00+00:00,1,2,0,0,0,0,0,0,0,0,0
2023-01-02 02:20:00+00:00,4,2,0,0,0,0,0,0,0,3,0
2023-01-02 02:30:00+00:00,1,2,1,0,0,0,0,0,0,2,0
2023-01-02 02:40:00+00:00,4,0,0,0,0,0,0,0,0,1,0
2023-01-02 02:50:00+00:00,3,0,0,0,0,0,0,0,0,1,0
2023-01-02 03:00:00+00:00,2,2,0,0,0,0,0,0,0,2,0
2023-01-02 03:10:00+00:00,3,2,0,0,0,0,0,0,0,1,0
2023-01-02 03:20:00+00:00,9,1,0,0,0,0,0,0,0,4,0
2023-01-02 03:30:00+00:00,4,3,1,0,0,0,0,0,1,2,0
2023-01-02 03:40:00+00:00,4,0,1,0,0,0,0,0,0,1,0
2023-01-02 03:50:00+00:00,5,2,0,0,0,0,0,0,0,5,0
2023-01-02 04:00:00+00:00,8,2,1,0,0,0,0,0,0,7,0
2023-01-02 04:10:00+00:00,10,5,0,0,0,0,0,0,0,8,0
2023-01-02 04:20:00+00:00,14,2,3,0,0,0,0,0,0,5,0
2023-01-02 04:30:00+00:00,17,4,0,1,0,0,0,0,0,10,0
2023-01-02 04:40:00+00:00,19,8,4,0,0,0,0,0,0,11,0
2023-01-02 04:50:00+00:00,22,6,3,1,0,0,0,1,0,21,0
2023-01-02 05:00:00+00:00,24,4,5,1,0,0,0,0,0,25,0
2023-01-02 05:10:00+00:00,20,14,2,2,0,0,0,0,0,24,0
2023-01-02 05:20:00+00:00,18,15,1,2,0,0,0,0,0,20,1
2023-01-02 05:30:00+00:00,30,18,4,0,0,0,0,0,0,18,0
2023-01-02 05:40:00+00:00,27,12,9,3,0,0,0,0,1,27,0
2023-01-02 05:50:00+00:00,32,14,1,5,0,0,0,0,0,22,0
2023-01-02 06:00:00+00:00,39,21,4,4,0,0,0,0,0,20,2
2023-01-02 06:10:00+00:00,37,14,9,3,0,0,0,0,0,26,0
2023-01-02 06:20:00+00:00,48,20,5,3,0,0,0,0,0,23,0
2023-01-02 06:30:00+00:00,43,21,9,3,0,1,0,0,0,19,0
2023-01-02 06:40:00+00:00,42,19,11,2,0,0,0,0,1,19,0
2023-01-02 06:50:00+00:00,50,20,2,7,0,0,0,0,0,28,0
2023-01-02 07:00:00+00:00,61,19,6,3,0,1,0,0,0,36,0
2023-01-02 07:10:00+00:00,59,17,8,2,0,1,0,0,0,29,4
2023-01-02 07:20:00+00:00,42,12,9,3,0,0,0,0,1,17,0
2023-01-02 07:30:00+00:00,43,27,6,1,0,0,0,0,1,33,0
2023-01-02 07:40:00+00:00,53,18,6,2,0,0,0,0,0,26,0
2023-01-02 07:50:00+00:00,51,19,8,5,0,0,0,0,1,30,0
2023-01-02 08:00:00+00:00,62,21,6,2,0,0,0,0,0,19,0
2023-01-02 08:10:00+00:00,49,18,12,4,0,1,0,0,2,19,0
2023-01-02 08:20:00+00:00,57,19,5,2,0,0,0,1,0,22,0
2023-01-02 08:30:00+00:00,46,29,12,2,0,1,0,0,0,18,0
2023-01-02 08:40:00+00:00,46,17,5,3,2,1,0,1,0,25,1
2023-01-02 08:50:00+00:00,46,24,3,6,0,0,0,1,0,27,0
2023-01-02 09:00:00+00:00,53,28,8,1,0,0,0,0,0,30,0
2023-01-02 09:10:00+00:00,58,24,8,2,0,1,0,0,0,21,2
2023-01-02 09:20:00+00:00,55,24,12,3,0,1,0,0,1,26,0
2023-01-02 09:30:00+00:00,54,20,8,8,0,0,0,0,1,30,0
2023-01-02 09:40:00+00:00,64,17,5,3,1,0,0,0,1,28,2
2023-01-02 09:50:00+00:00,51,21,10,1,0,1,0,0,1,26,0
2023-01-02 10:00:00+00:00,55,29,5,4,1,0,0,1,1,26,3
2023-01-02 10:10:00+00:00,49,28,5,1,0,0,0,1,1,33,2
2023-01-02 10:20:00+00:00,59,27,8,1,0,0,0,0,2,30,0
2023-01-02 10:30:00+00:00,56,28,9,4,0,0,0,0,0,29,0
2023-01-02 10:40:00+00:00,70,19,8,5,0,0,1,0,1,31,0
2023-01-02 10:50:00+00:00,57,30,5,2,0,0,0,0,0,26,0
2023-01-02 11:00:00+00:00,62,26,2,3,0,0,0,2,1,29,0
2023-01-02 11:10:00+00:00,72,20,7,3,0,0,0,0,0,40,1
2023-01-02 11:20:00+00:00,65,23,6,3,0,0,0,0,0,37,0
2023-01-02 11:30:00+00:00,69,24,4,1,0,0,0,0,4,36,1
2023-01-02 11:40:00+00:00,53,22,7,2,0,0,0,1,1,34,3
2023-01-02 11:50:00+00:00,59,17,7,3,0,1,0,0,0,26,1
2023-01-02 12:00:00+00:00,63,21,6,2,0,0,0,0,1,29,0
2023-01-02 12:10:00+00:00,56,21,6,5,0,0,0,0,0,20,0
2023-01-02 12:20:00+00:00,59,28,7,1,0,1,0,0,0,27,0
2023-01-02 12:30:00+00:00,48,25,4,1,0,0,0,0,1,35,1
2023-01-02 12:40:00+00:00,45,25,5,0,0,0,0,0,8,43,3
2023-01-02 12:50:00+00:00,61,22,6,2,0,0,0,1,6,32,0
2023-01-02 13:00:00+00:00,73,21,13,3,0,0,0,0,7,36,0
2023-01-02 13:10:00+00:00,42,19,6,2,0,0,0,1,0,32,1
2023-01-02 13:20:00+00:00,66,30,8,3,0,0,0,1,0,38,0
2023-01-02 13:30:00+00:00,72,26,4,5,0,0,0,2,1,45,0
2023-01-02 13:40:00+00:00,66,24,2,2,0,0,0,0,1,39,0
2023-01-02 13:50:00+00:00,74,26,7,1,0,0,0,0,0,45,0
2023-01-02 14:00:00+00:00,65,29,5,1,0,0,0,0,0,34,0
2023-01-02 14:10:00+00:00,78,28,11,3,0,2,0,0,1,43,0
2023-01-02 14:20:00+00:00,83,33,7,2,0,0,0,0,2,45,1
2023-01-02 14:30:00+00:00,70,27,7,2,0,0,0,0,0,35,0
2023-01-02 14:40:00+00:00,89,28,5,5,0,0,0,0,1,45,0
2023-01-02 14:50:00+00:00,68,21,10,2,0,0,0,0,0,37,1
2023-01-02 15:00:00+00:00,67,30,5,1,0,0,1,3,0,23,1
2023-01-02 15:10:00+00:00,62,29,9,0,0,0,0,0,1,39,0
2023-01-02 15:20:00+00:00,67,24,12,2,0,0,0,0,2,38,0
2023-01-02 15:30:00+00:00,77,22,6,1,0,0,0,0,3,37,0
2023-01-02 15:40:00+00:00,61,30,11,0,0,0,0,0,0,39,0
2023-01-02 15:50:00+00:00,65,16,10,0,0,0,0,0,0,32,0
2023-01-02 16:00:00+00:00,64,29,14,0,0,0,0,1,0,36,1
2023-01-02 16:10:00+00:00,62,29,3,0,0,1,1,0,2,43,0
2023-01-02 16:20:00+00:00,66,28,10,2,0,0,0,0,2,29,0
2023-01-02 16:30:00+00:00,61,19,11,2,0,0,0,0,4,38,0
2023-01-02 16:40:00+00:00,62,23,3,0,0,0,0,0,1,28,0
2023-01-02 16:50:00+00:00,79,20,5,0,0,0,0,1,0,31,0
2023-01-02 17:00:00+00:00,61,16,11,0,0,0,0,0,2,24,2
2023-01-02 17:10:00+00:00,65,11,3,1,1,0,0,0,2,27,1
2023-01-02 17:20:00+00:00,44,17,4,0,0,0,0,0,2,25,0
2023-01-02 17:30:00+00:00,64,15,4,1,0,0,0,1,2,30,2
2023-01-02 17:40:00+00:00,43,19,8,0,0,0,0,0,2,26,0
2023-01-02 17:50:00+00:00,47,11,11,1,0,0,0,3,1,26,0
2023-01-02 18:00:00+00:00,45,19,3,2,0,0,0,0,1,24,0
2023-01-02 18:10:00+00:00,38,15,3,0,0,0,0,0,2,27,0
2023-01-02 18:20:00+00:00,36,11,2,1,0,0,0,0,1,23,0
2023-01-02 18:30:00+00:00,51,12,3,0,0,0,0,0,0,26,0
2023-01-02 18:40:00+00:00,28,13,4,2,0,0,0,0,0,14,0
2023-01-02 18:50:00+00:00,31,11,7,0,0,0,1,0,0,16,2
2023-01-02 19:00:00+00:00,34,12,7,1,0,0,0,0,1,19,1
2023-01-02 19:10:00+00:00,25,8,3,3,0,0,0,0,0,22,0
2023-01-02 19:20:00+00:00,32,13,5,1,0,0,0,0,0,19,0
2023-01-02 19:30:00+00:00,42,19,5,2,0,0,0,0,0,16,0
2023-01-02 19:40:00+00:00,33,13,5,0,0,0,0,0,2,15,0
2023-01-02 19:50:00+00:00,26,20,2,0,0,0,0,0,0,14,0
2023-01-02 20:00:00+00:00,26,6,3,1,0,0,0,0,0,13,2
2023-01-02 20:10:00+00:00,22,8,1,0,0,0,0,0,0,20,0
2023-01-02 20:20:00+00:00,24,14,5,1,0,0,0,0,1,13,0
2023-01-02 20:30:00+00:00,23,8,3,3,0,0,0,0,0,12,0
2023-01-02 20:40:00+00:00,24,7,1,0,0,0,0,0,0,17,0
2023-01-02 20:50:00+00:00,16,3,5,1,0,0,0,0,0,14,0
2023-01-02 21:00:00+00:00,6,7,4,0,0,0,0,0,0,11,0
2023-01-02 21:10:00+00:00,13,6,4,1,0,0,0,0,0,15,1
2023-01-02 21:20:00+00:00,25,6,2,0,0,0,0,0,0,19,3
2023-01-02 21:30:00+00:00,25,10,1,0,0,0,0,0,0,13,0
2023-01-02 21:40:00+00:00,21,4,0,0,0,0,0,0,0,14,0
2023-01-02 21:50:00+00:00,18,3,5,0,0,0,0,0,1,12,0
2023-01-02 22:00:00+00:00,12,3,2,1,0,0,0,0,0,4,0
2023-01-02 22:10:00+00:00,14,4,3,0,0,0,0,0,0,11,0
2023-01-02 22:20:00+00:00,10,2,1,0,0,0,0,0,0,4,0
2023-01-02 22:30:00+00:00,10,6,1,0,0,0,0,0,0,3,1
2023-01-02 22:40:00+00:00,7,2,1,0,0,0,0,0,0,7,0
2023-01-02 22:50:00+00:00,11,5,1,0,0,0,0,0,1,2,0
2023-01-02 23:00:00+00:00,6,3,0,0,0,0,0,0,0,8,0
2023-01-02 23:10:00+00:00,7,4,2,1,0,0,0,0,1,5,0
2023-01-02 23:20:00+00:00,8,6,0,0,0,0,0,0,0,1,0
2023-01-02 23:30:00+00:00,6,3,2,1,0,0,0,0,0,3,0
2023-01-02 23:40:00+00:00,9,1,0,1,0,0,0,0,0,4,0
2023-01-02 23:50:00+00:00,5,2,0,0,0,0,0,0,0,4,0
2023-01-03 00:00:00+00:00,9,5,0,1,0,0,0,0,0,2,0
2023-01-03 00:10:00+00:00,5,0,0,0,0,0,0,0,0,3,0
2023-01-03 00:20:00+00:00,6,1,0,0,0,0,0,0,0,2,0
2023-01-03 00:30:00+00:00,6,0,0,0,0,0,0,0,0,0,0
2023-01-03 00:40:00+00:00,6,1,0,1,0,0,0,0,0,2,0
2023-01-03 00:50:00+00:00,8,5,0,0,0,0,0,0,0,3,0
2023-01-03 01:00:00+00:00,1,1,0,0,0,0,0,0,0,2,0
2023-01-03 01:10:00+00:00,2,2,1,1,0,0,0,0,1,0,0
2023-01-03 01:20:00+00:00,1,1,1,0,0,0,0,0,0,2,0
2023-01-03 01:30:00+00:00,6,1,1,0,0,0,0,0,0,1,1
2023-01-03 01:40:00+00:00,1,0,0,0,0,0,0,0,0,2,0
2023-01-03 01:50:00+00:00,2,0,0,1,0,0,0,0,0,1,1
2023-01-03 02:00:00+00:00,4,3,0,2,0,0,1,0,0,3,0
2023-01-03 02:10:00+00:00,2,2,1,1,0,2,0,0,0,1,0
2023-01-03 02:20:00+00:00,3,2,0,0,0,0,0,0,0,1,0
2023-01-03 02:30:00+00:00,2,0,0,0,0,0,0,0,0,1,0
2023-01-03 02:40:00+00:00,5,1,0,0,0,0,0,0,0,3,0
2023-01-03 02:50:00+00:00,5,2,0,0,0,0,0,0,0,4,0
2023-01-03 03:00:00+00:00,1,1,0,0,0,0,0,0,0,3,0
2023-01-03 03:10:00+00:00,9,3,0,0,0,0,0,0,1,2,0
2023-01-03 03:20:00+00:00,4,3,0,1,0,0,0,0,1,2,0
2023-01-03 03:30:00+00:00,4,4,1,0,0,1,0,0,0,4,0
2023-01-03 03:40:00+00:00,3,0,1,0,0,0,0,0,0,3,0
2023-01-03 03:50:00+00:00,7,4,0,0,0,0,0,0,0,3,0
2023-01-03 04:00:00+00:00,8,4,0,1,0,0,0,0,0,3,1
2023-01-03 04:10:00+00:00,5,3,2,0,0,0,0,0,0,7,1
2023-01-03 04:20:00+00:00,6,2,5,2,0,0,0,0,0,5,0
2023-01-03 04:30:00+00:00,16,9,1,0,0,0,0,0,0,13,0
2023-01-03 04:40:00+00:00,23,4,0,3,0,0,0,0,0,11,0
2023-01-03 04:50:00+00:00,17,10,2,2,0,0,0,0,0,20,0
2023-01-03 05:00:00+00:00,14,8,3,0,0,0,0,0,0,26,0
2023-01-03 05:10:00+00:00,17,11,4,0,0,0,1,0,0,24,0
2023-01-03 05:20:00+00:00,22,11,2,0,0,0,0,0,0,22,1
2023-01-03 05:30:00+00:00,14,15,3,3,0,0,0,0,0,21,0
2023-01-03 05:40:00+00:00,27,14,7,0,0,0,0,0,0,22,0
2023-01-03 05:50:00+00:00,32,12,4,1,0,0,0,0,1,28,0
2023-01-03 06:00:00+00:00,38,16,3,3,0,0,0,0,0,23,0
2023-01-03 06:10:00+00:00,37,19,5,5,0,1,0,1,0,32,1
2023-01-03 06:20:00+00:00,38,18,7,0,0,0,0,1,4,28,0
2023-01-03 06:30:00+00:00,50,23,1,5,0,2,0,0,4,33,2
2023-01-03 06:40:00+00:00,49,24,7,1,0,1,0,0,2,35,0
2023-01-03 06:50:00+00:00,60,29,4,5,0,0,0,1,2,29,1
2023-01-03 07:00:00+00:00,67,24,8,6,0,0,1,0,1,24,0
2023-01-03 07:10:00+00:00,56,20,12,2,1,0,0,0,1,36,0
2023-01-03 07:20:00+00:00,45,30,9,0,0,0,0,1,4,29,0
2023-01-03 07:30:00+00:00,60,29,10,3,0,0,0,0,1,26,0
2023-01-03 07:40:00+00:00,60,18,7,2,0,1,0,0,0,36,1
2023-01-03 07:50:00+00:00,58,22,7,2,0,0,0,0,1,24,1
2023-01-03 08:00:00+00:00,69,35,8,4,0,0,0,1,3,28,0
2023-01-03 08:10:00+00:00,65,23,7,4,0,1,0,2,2,28,0
2023-01-03 08:20:00+00:00,58,18,4,5,0,0,0,0,2,25,0
2023-01-03 08:30:00+00:00,57,24,5,3,0,0,0,0,1,32,1
2023-01-03 08:40:00+00:00,60,24,4,2,0,0,0,0,4,33,1
2023-01-03 08:50:00+00:00,53,34,6,3,0,0,0,1,2,34,0
2023-01-03 09:00:00+00:00,65,35,12,2,0,0,0,0,3,36,1
2023-01-03 09:10:00+00:00,52,27,7,2,0,1,0,1,4,37,0
2023-01-03 09:20:00+00:00,49,31,8,0,0,0,0,2,3,34,0
2023-01-03 09:30:00+00:00,56,35,3,3,0,0,0,2,3,33,0
2023-01-03 09:40:00+00:00,42,23,3,5,0,0,0,0,4,29,0
2023-01-03 09:50:00+00:00,67,22,4,4,0,1,0,1,4,29,2
2023-01-03 10:00:00+00:00,69,29,9,1,1,0,0,0,1,35,0
2023-01-03 10:10:00+00:00,51,22,5,2,0,0,0,2,3,39,0
2023-01-03 10:20:00+00:00,59,28,4,4,0,1,0,1,1,30,0
